KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker,Er_Laast,Status,Alltid_Q1Q2,Alltid_Q3Q4,Rang_Median_Heur,Rekkefolge_Klasse
1579,Hustadvika,Molde,7743.0,7743.0,True,Ikke påbegynt,True,False,84.0,ekte_robust_tidlig
4216,Birkenes,Kristiansand,10577.0,10577.0,False,Ikke påbegynt,False,False,85.0,fleksibel_mellomgruppe
1119,Hå,Stavanger,6268.0,6268.0,False,Påbegynt,False,False,86.0,fleksibel_mellomgruppe
3441,Gausdal,Hamar,12287.0,12287.0,False,Ikke påbegynt,True,False,87.0,ekte_robust_tidlig
4030,Nissedal,Skien,6540.0,6540.0,False,Ikke påbegynt,False,False,88.0,fleksibel_mellomgruppe
1840,Saltdal,Bodø,5167.0,5167.0,True,Ikke påbegynt,True,False,89.0,ekte_robust_tidlig
5041,Snåase - Snåsa,Trondheim,5861.0,5861.0,False,Ikke påbegynt,True,False,90.0,ekte_robust_tidlig
1576,Aure,Molde,4577.0,4577.0,True,Ikke påbegynt,False,False,91.0,fleksibel_mellomgruppe
3338,Nore og Uvdal,Oslo,13281.0,13281.0,False,Ikke påbegynt,True,False,92.0,ekte_robust_tidlig
1130,Strand,Stavanger,6598.0,6598.0,False,Ikke påbegynt,False,False,93.0,fleksibel_mellomgruppe
4212,Vegårshei,Kristiansand,8548.0,8548.0,False,Ikke påbegynt,True,False,94.0,ekte_robust_tidlig
4028,Kviteseid,Skien,5611.0,5611.0,False,Ikke påbegynt,False,False,95.0,fleksibel_mellomgruppe
4010,Siljan,Skien,2674.0,2674.0,False,Ikke påbegynt,False,False,96.0,fleksibel_mellomgruppe
4621,Voss,Bergen,23191.0,23191.0,False,Ikke påbegynt,False,False,97.0,fleksibel_mellomgruppe
1560,Tingvoll,Molde,5373.0,5373.0,True,Ikke påbegynt,False,False,98.0,fleksibel_mellomgruppe
1121,Time,Stavanger,5798.0,5798.0,False,Ikke påbegynt,False,False,99.0,fleksibel_mellomgruppe
4213,Tvedestrand,Kristiansand,8806.0,8806.0,False,Ikke påbegynt,False,False,100.0,fleksibel_mellomgruppe
5042,Lierne,Trondheim,2972.0,2972.0,False,Ikke påbegynt,True,False,101.0,ekte_robust_tidlig
5612,Guovdageaidnu - Kautokeino,Tromsø,19267.0,19267.0,False,Ikke påbegynt,False,False,102.0,fleksibel_mellomgruppe
1557,Gjemnes,Molde,3596.0,3596.0,True,Ikke påbegynt,False,False,103.0,fleksibel_mellomgruppe
1135,Sauda,Stavanger,4201.0,4201.0,False,Ikke påbegynt,False,False,104.0,fleksibel_mellomgruppe
4206,Farsund,Kristiansand,8160.0,8160.0,False,Ikke påbegynt,False,False,105.0,fleksibel_mellomgruppe
1554,Averøy,Molde,3601.0,3601.0,True,Ikke påbegynt,False,False,106.0,fleksibel_mellomgruppe
1101,Eigersund,Stavanger,6942.0,69.0,False,Påbegynt,False,False,107.0,fleksibel_mellomgruppe
1120,Klepp,Stavanger,3414.0,3414.0,False,Ikke påbegynt,False,False,108.0,fleksibel_mellomgruppe
1111,Sokndal,Stavanger,2134.0,21.0,False,Påbegynt,False,False,109.0,fleksibel_mellomgruppe
1114,Bjerkreim,Stavanger,7158.0,72.0,False,Påbegynt,False,False,110.0,fleksibel_mellomgruppe
1112,Lund,Stavanger,2758.0,28.0,False,Påbegynt,False,False,111.0,fleksibel_mellomgruppe
4644,Luster,Bergen,6200.0,4650.0,True,Påbegynt,True,False,112.0,ekte_robust_tidlig
1505,Kristiansund,Molde,2048.0,2048.0,True,Ikke påbegynt,False,False,113.0,fleksibel_mellomgruppe
4202,Grimstad,Kristiansand,6512.0,6512.0,False,Ikke påbegynt,False,False,114.0,fleksibel_mellomgruppe
5035,Stjørdal,Trondheim,13808.0,13808.0,False,Ikke påbegynt,False,False,115.0,fleksibel_mellomgruppe
3449,Sør-Aurdal,Hamar,13249.0,13249.0,False,Ikke påbegynt,False,False,116.0,fleksibel_mellomgruppe
1547,Aukra,Molde,900.0,450.0,True,Påbegynt,True,False,117.0,ekte_robust_tidlig
3328,Ål,Oslo,16194.0,16194.0,False,Ikke påbegynt,False,False,118.0,fleksibel_mellomgruppe
1826,Aarborte - Hattfjelldal,Bodø,4610.0,4610.0,False,Ikke påbegynt,False,False,119.0,fleksibel_mellomgruppe
4201,Risør,Kristiansand,7458.0,7458.0,False,Ikke påbegynt,False,False,120.0,fleksibel_mellomgruppe
5054,Indre Fosen,Trondheim,9918.0,9918.0,False,Ikke påbegynt,True,False,121.0,ekte_robust_tidlig
4218,Iveland,Kristiansand,3446.0,689.0,False,Påbegynt,False,False,122.0,fleksibel_mellomgruppe
4215,Lillesand,Kristiansand,6111.0,6111.0,False,Påbegynt,False,False,123.0,fleksibel_mellomgruppe
4211,Gjerstad,Kristiansand,5328.0,266.0,False,Påbegynt,False,False,124.0,fleksibel_mellomgruppe
4640,Sogndal,Bergen,9640.0,9640.0,True,Ikke påbegynt,True,False,125.0,ekte_robust_tidlig
4214,Froland,Kristiansand,6254.0,313.0,False,Påbegynt,False,False,126.0,fleksibel_mellomgruppe
5033,Tydal,Trondheim,9999.0,9999.0,False,Ikke påbegynt,False,False,127.0,fleksibel_mellomgruppe
3454,Vang,Hamar,8187.0,8187.0,False,Ikke påbegynt,True,False,128.0,ekte_robust_tidlig
3330,Hol,Oslo,14988.0,11990.0,False,Påbegynt,True,False,129.0,ekte_robust_tidlig
4619,Eidfjord,Bergen,5017.0,5017.0,True,Ikke påbegynt,False,False,130.0,fleksibel_mellomgruppe
4228,Sirdal,Kristiansand,8126.0,8126.0,True,Ikke påbegynt,True,False,131.0,ekte_robust_tidlig
5034,Meråker,Trondheim,7116.0,7116.0,False,Ikke påbegynt,False,False,132.0,fleksibel_mellomgruppe
1824,Vefsn,Bodø,8559.0,8559.0,True,Ikke påbegynt,False,False,133.0,fleksibel_mellomgruppe
5610,Kárášjohka - Karasjok,Tromsø,8565.0,8565.0,False,Ikke påbegynt,False,False,134.0,fleksibel_mellomgruppe
