KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
3330,Hol,Oslo,14988.0,11990.0,44.75,2026-07-03,2029-04-27
3332,Sigdal,Oslo,17054.0,17054.0,37.65,2026-07-27,2029-12-14
3334,Flesberg,Oslo,10021.0,0.0,0.0,2026-05-01,2026-10-14
3336,Rollag,Oslo,7744.0,5034.0,11.38,2026-11-19,2032-04-15
3338,Nore og Uvdal,Oslo,13281.0,13281.0,66.03,2026-06-09,2028-06-06
3401,Kongsvinger,Hamar,10212.0,511.0,1.9,2026-08-11,2030-05-01
3403,Hamar,Hamar,3151.0,158.0,0.55,2027-05-17,2034-09-28
3405,Lillehammer,Hamar,10606.0,10606.0,23.5,2027-04-20,2034-03-29
3407,Gjøvik,Hamar,7897.0,7897.0,24.6,2027-04-13,2034-03-02
3411,Ringsaker,Hamar,12701.0,635.0,1.96,2027-05-14,2034-09-14
3412,Løten,Hamar,2884.0,144.0,0.54,2027-05-17,2034-10-03
3413,Stange,Hamar,7796.0,390.0,1.18,2026-08-11,2030-05-10
3414,Nord-Odal,Hamar,3411.0,0.0,0.0,2026-05-01,2026-10-19
3415,Sør-Odal,Hamar,5776.0,0.0,0.0,2026-05-01,2026-10-26
3416,Eidskog,Hamar,5440.0,0.0,0.0,2026-05-01,2026-10-30
3417,Grue,Hamar,4204.0,0.0,0.0,2026-05-01,2026-11-05
3418,Åsnes,Hamar,5531.0,0.0,0.0,2026-05-01,2026-11-12
3419,Våler,Hamar,8900.0,445.0,1.07,2027-05-17,2034-09-26
3420,Elverum,Hamar,11666.0,583.0,2.2,2027-05-14,2034-08-30
3421,Trysil,Hamar,16189.0,809.0,3.98,2027-05-13,2034-08-16
3422,Åmot,Hamar,9088.0,9088.0,36.57,2027-05-12,2034-07-27
3423,Stor-Elvdal,Hamar,13617.0,681.0,3.13,2027-04-28,2034-05-09
3424,Rendalen,Hamar,11980.0,11980.0,81.93,2026-09-29,2031-03-04
3425,Engerdal,Hamar,6538.0,327.0,2.28,2027-04-28,2034-05-17
3426,Tolga,Hamar,8559.0,428.0,1.91,2027-04-29,2034-06-07
3427,Tynset,Hamar,10498.0,10498.0,54.08,2026-10-16,2031-06-17
3428,Alvdal,Hamar,10557.0,10557.0,41.77,2026-11-16,2032-03-01
3429,Folldal,Hamar,8494.0,425.0,2.08,2027-04-29,2034-05-26
3430,Os,Hamar,5106.0,255.0,1.29,2027-04-30,2034-06-13
3431,Dovre,Hamar,8098.0,8098.0,40.73,2026-12-14,2032-09-09
3432,Lesja,Hamar,6501.0,6501.0,43.92,2026-11-02,2031-11-06
3433,Skjåk,Hamar,5069.0,5069.0,37.75,2027-03-25,2034-01-06
3434,Lom,Hamar,6259.0,6259.0,39.0,2027-02-26,2033-08-16
3435,Vågå,Hamar,10194.0,10194.0,39.83,2027-02-12,2033-07-15
3436,Nord-Fron,Hamar,12207.0,12207.0,41.25,2026-11-30,2032-07-05
3437,Sel,Hamar,14777.0,14777.0,40.53,2026-12-28,2032-11-04
3438,Sør-Fron,Hamar,7916.0,7916.0,27.98,2027-04-02,2034-01-17
3439,Ringebu,Hamar,18435.0,18435.0,57.57,2026-05-21,2027-10-22
3440,Øyer,Hamar,10070.0,10070.0,31.8,2026-07-14,2029-07-23
3441,Gausdal,Hamar,12287.0,12287.0,46.2,2026-06-05,2028-04-20
3442,Østre Toten,Hamar,4326.0,4326.0,19.78,2027-01-18,2033-04-14
3443,Vestre Toten,Hamar,3356.0,3356.0,10.07,2027-01-20,2033-04-21
3446,Gran,Hamar,8906.0,8906.0,24.92,2026-07-31,2030-02-05
3447,Søndre Land,Hamar,7653.0,7653.0,26.15,2027-01-11,2033-02-16
3448,Nordre Land,Hamar,12435.0,12435.0,44.1,2027-02-04,2033-06-13
3449,Sør-Aurdal,Hamar,13249.0,13249.0,44.13,2026-06-22,2028-12-22
3450,Etnedal,Hamar,6276.0,6276.0,18.8,2027-04-27,2034-04-18
