Prosjektnr,KomNr,Kommune,Kartkontor,Prosjektstatus,Laaseperiode_Start,Laaseperiode_Slutt
LACINO62,1838,Gildeskål,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1839,Beiarn,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1840,Saltdal,Bodø,Planlagt,2026-11-01,2027-06-30
LACINO62,1841,Fauske - Fuossko,Bodø,Planlagt,2026-11-01,2027-06-30
LACHTF51,5501,Tromsø,Tromsø,Pågående,2026-03-01,2026-05-31
LACHTF51,5503,Harstad - Hárstták,Tromsø,Pågående,2026-03-01,2026-05-31
LACHTF51,5516,Gratangen,Tromsø,Pågående,2026-03-01,2026-05-31
LACHTF51,5518,Loabák - Lavangen,Tromsø,Pågående,2026-03-01,2026-05-31
LACHTF51,5520,Bardu,Tromsø,Pågående,2026-03-01,2026-05-31
LACHTF51,5522,Salangen,Tromsø,Pågående,2026-03-01,2026-05-31
LACITF61,5501,Tromsø,Tromsø,Planlagt,2026-10-01,2027-05-31
LACITF61,5536,Lyngen,Tromsø,Planlagt,2026-10-01,2027-05-31
LACITF61,5540,Gáivuotna - Kåfjord - Kaivuono,Tromsø,Planlagt,2026-10-01,2027-05-31
LACITF61,5542,Skjervøy,Tromsø,Planlagt,2026-10-01,2027-05-31
LACITF61,5620,Nordkapp,Tromsø,Planlagt,2026-10-01,2027-05-31
LACITF61,5622,Porsanger - Porsáŋgu - Porsanki,Tromsø,Planlagt,2026-10-01,2027-05-31
LACIAG63,4207,Flekkefjord,Kristiansand,Planlagt,2026-05-01,2026-12-31
LACIAG63,4221,Valle,Kristiansand,Planlagt,2026-05-01,2026-12-31
LACIAG63,4222,Bykle,Kristiansand,Planlagt,2026-05-01,2026-12-31
LACIAG63,4228,Sirdal,Kristiansand,Planlagt,2026-05-01,2026-12-31
