KomNr,Kommune,Fylkesnr,Fylke,Kartkontor,Km_Kurve,ArealLand_Km2,Ber_Tidbruk_Min,Ber_Dagsverk,Status,Fremdrift_Prosent,Antall_Lenker,Gjenstaaende_Lenker,Geovekst_Prosjekter,Geovekst_Status,Er_Laast
1832,Hemnes,18,Nordland,Bodø,869.1,1430.0,1716,4.0,Ikke påbegynt,0.0,4516.0,4516.0,"LACINO51,LACINO62","Planlagt,Pågående",True
1833,Rana,18,Nordland,Bodø,1813.92,4203.0,4375,10.0,Ikke påbegynt,0.0,10959.0,10959.0,"LACINO51,LACINO62","Planlagt,Pågående",True
1834,Lurøy,18,Nordland,Bodø,197.01,258.0,346,1.0,Ikke påbegynt,0.0,1485.0,1485.0,"LACINO51,LACINO62","Planlagt,Pågående",True
1835,Træna,18,Nordland,Bodø,11.12,16.0,20,1.0,Ikke påbegynt,0.0,88.0,88.0,,,False
1836,Rødøy,18,Nordland,Bodø,232.38,686.0,657,2.0,Ikke påbegynt,0.0,1257.0,1257.0,LACINO62,Planlagt,True
1837,Meløy,18,Nordland,Bodø,584.95,798.0,1048,3.0,Ikke påbegynt,0.0,4215.0,4215.0,"LACINO51,LACINO62","Planlagt,Pågående",True
1838,Gildeskål,18,Nordland,Bodø,363.8,622.0,734,2.0,Ikke påbegynt,0.0,2461.0,2461.0,LACINO62,Planlagt,True
1839,Beiarn,18,Nordland,Bodø,590.5,1178.0,1300,3.0,Ikke påbegynt,0.0,3086.0,3086.0,LACINO62,Planlagt,True
1840,Saltdal,18,Nordland,Bodø,1138.68,2084.0,2386,6.0,Ikke påbegynt,0.0,5167.0,5167.0,"LACINO61,LACINO62",Planlagt,True
1841,Fauske - Fuossko,18,Nordland,Bodø,745.84,1107.0,1395,4.0,Ikke påbegynt,0.0,5814.0,5814.0,"LACINO61,LACINO62",Planlagt,True
1845,Sørfold,18,Nordland,Bodø,510.73,1471.0,1419,4.0,Ikke påbegynt,0.0,3450.0,3450.0,LACINO61,Planlagt,True
1848,Steigen,18,Nordland,Bodø,651.73,964.0,1216,3.0,Ikke påbegynt,0.0,4379.0,4379.0,,,False
1851,Lødingen,18,Nordland,Bodø,283.95,508.0,587,2.0,Ikke påbegynt,0.0,2014.0,2014.0,,,False
1853,Evenes - Evenášši,18,Nordland,Bodø,377.36,241.0,498,2.0,Ikke påbegynt,0.0,2823.0,2823.0,,,False
1856,Røst,18,Nordland,Bodø,34.4,10.0,38,1.0,Ikke påbegynt,0.0,455.0,455.0,,,False
1857,Værøy,18,Nordland,Bodø,32.37,19.0,42,1.0,Ikke påbegynt,0.0,187.0,187.0,,,False
1859,Flakstad,18,Nordland,Bodø,226.52,169.0,315,1.0,Ikke påbegynt,0.0,2889.0,2889.0,,,False
1860,Vestvågøy,18,Nordland,Bodø,646.46,407.0,849,2.0,Ikke påbegynt,0.0,4988.0,4988.0,,,False
1865,Vågan,18,Nordland,Bodø,477.14,460.0,731,2.0,Ikke påbegynt,0.0,4309.0,4309.0,,,False
1866,Hadsel,18,Nordland,Bodø,694.67,551.0,986,3.0,Ikke påbegynt,0.0,4661.0,4661.0,,,False
1867,Bø,18,Nordland,Bodø,330.08,235.0,451,2.0,Påbegynt,25.0,1613.0,1210.0,,,False
1868,Øksnes,18,Nordland,Bodø,323.61,311.0,495,2.0,Ferdig,100.0,2602.0,0.0,,,False
1870,Sortland - Suortá,18,Nordland,Bodø,669.36,697.0,1059,3.0,Ikke påbegynt,0.0,4121.0,4121.0,,,False
1871,Andøy,18,Nordland,Bodø,1034.32,617.0,1336,4.0,Ikke påbegynt,0.0,7827.0,7827.0,,,False
1874,Moskenes,18,Nordland,Bodø,88.58,110.0,152,1.0,Ikke påbegynt,0.0,949.0,949.0,,,False
1875,Hábmer - Hamarøy,18,Nordland,Bodø,784.33,1838.0,1905,5.0,Ikke påbegynt,0.0,5093.0,5093.0,,,False
3101,Halden,31,Østfold,Oslo,1358.82,595.0,1615,4.0,Ferdig,100.0,11913.0,0.0,,,False
3103,Moss,31,Østfold,Oslo,462.05,128.0,501,2.0,Ikke påbegynt,0.0,6581.0,6581.0,,,False
3105,Sarpsborg,31,Østfold,Oslo,1027.46,370.0,1169,3.0,Ikke påbegynt,0.0,13048.0,13048.0,,,False
3107,Fredrikstad,31,Østfold,Oslo,988.5,284.0,1078,3.0,Ikke påbegynt,0.0,14235.0,14235.0,,,False
3110,Hvaler,31,Østfold,Oslo,258.87,90.0,292,1.0,Ikke påbegynt,0.0,4834.0,4834.0,,,False
3112,Råde,31,Østfold,Oslo,202.34,105.0,251,1.0,Ferdig,100.0,2288.0,0.0,,,False
3114,Våler,31,Østfold,Oslo,614.35,239.0,711,2.0,Ikke påbegynt,0.0,8900.0,8900.0,,,False
3116,Skiptvet,31,Østfold,Oslo,182.52,93.0,225,1.0,Påbegynt,80.0,1677.0,335.0,,,False
3118,Indre Østfold,31,Østfold,Oslo,1616.36,755.0,1952,5.0,Ikke påbegynt,0.0,15270.0,15270.0,,,False
3120,Rakkestad,31,Østfold,Oslo,608.67,421.0,824,2.0,Påbegynt,95.0,3807.0,190.0,,,False
3122,Marker,31,Østfold,Oslo,436.44,368.0,634,2.0,Ferdig,100.0,2269.0,0.0,,,False
3124,Aremark,31,Østfold,Oslo,273.62,282.0,431,2.0,Ferdig,100.0,1483.0,0.0,,,False
3201,Bærum,32,Akershus,Oslo,717.84,189.0,772,2.0,Påbegynt,80.0,10234.0,2047.0,LACIAK61,Pågående,True
3203,Asker,32,Akershus,Oslo,1324.64,364.0,1434,4.0,Ikke påbegynt,0.0,16870.0,16870.0,LACIAK61,Pågående,True
3205,Lillestrøm,32,Akershus,Oslo,1054.89,410.0,1220,3.0,Ikke påbegynt,0.0,10677.0,10677.0,,,False
