Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,5514,500,1923,2297,2761
Basis_85,5516,500,2060,2475,2964
Basis_85,5518,500,2069,2476,2961
Basis_85,5520,500,2012,2406,2880
Basis_85,5522,500,2047,2459,2951
Basis_85,5524,500,1935,2320,2784
Basis_85,5526,500,1886,2285,2742
Basis_85,5528,500,1965,2348,2825
Basis_85,5530,500,1292,1783,2376
Basis_85,5532,500,1963,2338,2814
Basis_85,5534,500,1727,2156,2622
Basis_85,5536,500,2582,3059,3622
Basis_85,5538,500,278,330,389
Basis_85,5540,500,280,334,392
Basis_85,5542,500,2586,3064,3624
Basis_85,5544,500,1363,1763,2217
Basis_85,5546,500,1663,2083,2572
Basis_85,5601,500,1014,1543,1993
Basis_85,5603,500,1503,1879,2369
Basis_85,5605,500,1209,1648,2107
Basis_85,5607,500,1656,2134,2603
Basis_85,5610,500,898,1233,1775
Basis_85,5612,500,583,816,1181
Basis_85,5614,500,1887,2273,2712
Basis_85,5616,500,1900,2295,2734
Basis_85,5618,500,1847,2233,2672
Basis_85,5620,500,2582,3062,3618
Basis_85,5622,500,928,1314,2695
Basis_85,5624,500,1508,1891,2362
Basis_85,5626,500,283,334,395
Basis_85,5628,500,1017,1529,2001
Basis_85,5630,500,284,336,396
Basis_85,5632,500,285,339,398
Basis_85,5634,500,285,340,399
Basis_85,5636,500,1675,2090,2559
Middels_90,0301,500,591,1049,1502
Middels_90,1101,500,422,563,746
Middels_90,1103,500,279,437,636
Middels_90,1106,500,1013,1292,1614
Middels_90,1108,500,962,1197,1510
Middels_90,1111,500,422,566,753
Middels_90,1112,500,419,564,749
Middels_90,1114,500,416,557,747
Middels_90,1119,500,282,449,651
Middels_90,1120,500,397,545,732
Middels_90,1121,500,326,474,665
Middels_90,1122,500,247,389,578
Middels_90,1124,500,1014,1286,1610
Middels_90,1127,500,1022,1298,1622
Middels_90,1130,500,311,469,677
Middels_90,1133,500,219,332,508
Middels_90,1134,500,200,262,411
