KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
3228,Nes,Oslo,7813.0,7813.0,50.93,2027-03-12,2032-09-24
3230,Gjerdrum,Oslo,1443.0,0.0,0.0,2026-05-01,2026-09-09
3232,Nittedal,Oslo,5357.0,5357.0,22.67,2027-08-25,2034-09-26
3234,Lunner,Oslo,5579.0,0.0,0.0,2026-05-01,2026-09-17
3236,Jevnaker,Oslo,3494.0,0.0,0.0,2026-05-01,2026-09-22
3238,Nannestad,Oslo,4444.0,0.0,0.0,2026-05-01,2026-09-28
3240,Eidsvoll,Oslo,5707.0,0.0,0.0,2026-05-01,2026-10-06
3242,Hurdal,Oslo,4543.0,0.0,0.0,2026-05-01,2026-10-13
3301,Drammen,Oslo,11937.0,11937.0,39.07,2027-06-09,2033-12-19
3303,Kongsberg,Oslo,18936.0,18936.0,81.73,2026-10-20,2030-04-23
3305,Ringerike,Oslo,27311.0,27311.0,136.17,2026-06-15,2027-12-02
3310,Hole,Oslo,3102.0,0.0,0.0,2026-05-01,2026-10-16
3312,Lier,Oslo,6724.0,6724.0,30.87,2027-07-26,2034-06-02
3314,Øvre Eiker,Oslo,6486.0,6486.0,36.8,2027-07-05,2034-03-31
3316,Modum,Oslo,10613.0,10613.0,50.8,2027-03-30,2033-02-02
3318,Krødsherad,Oslo,7775.0,0.0,0.0,2026-05-01,2026-10-28
3320,Flå,Oslo,6856.0,6856.0,46.63,2027-05-14,2033-07-20
3322,Nesbyen,Oslo,11185.0,11185.0,68.57,2026-12-29,2031-07-09
3324,Gol,Oslo,9600.0,9600.0,51.87,2027-02-25,2032-08-05
3326,Hemsedal,Oslo,8110.0,8110.0,46.77,2027-04-29,2033-05-13
3328,Ål,Oslo,16194.0,16194.0,91.7,2026-08-26,2029-06-21
3330,Hol,Oslo,14988.0,11990.0,89.49,2026-09-23,2029-11-13
3332,Sigdal,Oslo,17054.0,17054.0,75.3,2026-11-13,2030-10-10
3334,Flesberg,Oslo,10021.0,0.0,0.0,2026-05-01,2026-11-11
3336,Rollag,Oslo,7744.0,5034.0,22.75,2027-08-18,2034-08-18
3338,Nore og Uvdal,Oslo,13281.0,13281.0,132.07,2026-07-27,2028-09-21
3401,Kongsvinger,Hamar,10212.0,511.0,3.8,2026-12-16,2031-04-03
3403,Hamar,Hamar,3151.0,158.0,1.11,2028-07-24,2036-05-28
3405,Lillehammer,Hamar,10606.0,10606.0,47.0,2028-05-25,2035-12-25
3407,Gjøvik,Hamar,7897.0,7897.0,49.2,2028-05-08,2035-12-11
3411,Ringsaker,Hamar,12701.0,635.0,3.92,2028-07-21,2036-05-12
3412,Løten,Hamar,2884.0,144.0,1.09,2028-07-24,2036-05-30
3413,Stange,Hamar,7796.0,390.0,2.35,2026-12-17,2031-04-14
3414,Nord-Odal,Hamar,3411.0,0.0,0.0,2026-05-01,2026-11-16
3415,Sør-Odal,Hamar,5776.0,0.0,0.0,2026-05-01,2026-11-24
3416,Eidskog,Hamar,5440.0,0.0,0.0,2026-05-01,2026-12-01
3417,Grue,Hamar,4204.0,0.0,0.0,2026-05-01,2026-12-07
3418,Åsnes,Hamar,5531.0,0.0,0.0,2026-05-01,2026-12-15
3419,Våler,Hamar,8900.0,445.0,2.15,2028-07-21,2036-05-22
3420,Elverum,Hamar,11666.0,583.0,4.39,2028-07-20,2036-04-23
3421,Trysil,Hamar,16189.0,809.0,7.97,2028-07-18,2036-04-07
3422,Åmot,Hamar,9088.0,9088.0,73.13,2028-07-14,2036-03-14
3423,Stor-Elvdal,Hamar,13617.0,681.0,6.26,2028-06-12,2036-01-22
3424,Rendalen,Hamar,11980.0,11980.0,163.87,2027-04-02,2033-02-24
3425,Engerdal,Hamar,6538.0,327.0,4.56,2028-06-13,2036-01-31
3426,Tolga,Hamar,8559.0,428.0,3.82,2028-06-15,2036-02-25
3427,Tynset,Hamar,10498.0,10498.0,108.17,2027-05-14,2033-08-09
3428,Alvdal,Hamar,10557.0,10557.0,83.53,2027-08-24,2034-09-18
3429,Folldal,Hamar,8494.0,425.0,4.16,2028-06-14,2036-02-12
3430,Os,Hamar,5106.0,255.0,2.57,2028-06-16,2036-03-03
3431,Dovre,Hamar,8098.0,8098.0,81.47,2027-10-27,2035-03-28
3432,Lesja,Hamar,6501.0,6501.0,87.83,2027-07-22,2034-05-24
3433,Skjåk,Hamar,5069.0,5069.0,75.5,2028-03-27,2035-11-19
3434,Lom,Hamar,6259.0,6259.0,78.0,2028-01-27,2035-09-13
3435,Vågå,Hamar,10194.0,10194.0,79.67,2027-12-28,2035-08-20
3436,Nord-Fron,Hamar,12207.0,12207.0,82.5,2027-09-24,2035-02-15
3437,Sel,Hamar,14777.0,14777.0,81.07,2027-11-26,2035-06-12
3438,Sør-Fron,Hamar,7916.0,7916.0,55.97,2028-04-18,2035-11-29
3439,Ringebu,Hamar,18435.0,18435.0,115.13,2026-06-15,2028-01-07
3440,Øyer,Hamar,10070.0,10070.0,63.6,2026-10-15,2030-03-13
3441,Gausdal,Hamar,12287.0,12287.0,92.4,2026-07-21,2028-08-21
3442,Østre Toten,Hamar,4326.0,4326.0,39.57,2027-02-05,2032-02-02
3443,Vestre Toten,Hamar,3356.0,3356.0,20.13,2027-02-15,2032-04-19
3446,Gran,Hamar,8906.0,8906.0,49.83,2026-11-26,2030-12-18
3447,Søndre Land,Hamar,7653.0,7653.0,52.3,2027-01-21,2031-10-21
3448,Nordre Land,Hamar,12435.0,12435.0,88.2,2027-06-18,2034-01-31
3449,Sør-Aurdal,Hamar,13249.0,13249.0,88.27,2026-08-25,2029-05-30
3450,Etnedal,Hamar,6276.0,6276.0,37.6,2028-06-08,2036-01-03
3451,Nord-Aurdal,Hamar,13002.0,13002.0,77.43,2028-02-25,2035-11-12
3452,Vestre Slidre,Hamar,11716.0,11716.0,48.13,2026-12-15,2031-03-19
3453,Øystre Slidre,Hamar,7995.0,7995.0,57.57,2026-11-06,2030-07-29
3454,Vang,Hamar,8187.0,8187.0,71.23,2026-09-21,2029-10-23
3901,Horten,Skien,2273.0,2273.0,7.33,2027-06-18,2034-02-02
3903,Holmestrand,Skien,8664.0,8664.0,43.73,2027-05-11,2033-07-06
3905,Tønsberg,Skien,10065.0,10065.0,36.47,2027-05-20,2033-08-25
3907,Sandefjord,Skien,13753.0,13753.0,48.47,2027-04-30,2033-06-06
3909,Larvik,Skien,20251.0,20251.0,78.93,2027-02-22,2032-07-14
3911,Færder,Skien,5132.0,5132.0,12.57,2027-06-17,2034-01-13
4001,Porsgrunn,Skien,7351.0,7351.0,23.13,2027-06-09,2033-12-29
4003,Skien,Skien,11644.0,11644.0,63.47,2027-03-24,2032-12-17
4005,Notodden,Skien,8977.0,8977.0,61.47,2026-06-15,2028-01-20
4010,Siljan,Skien,2674.0,2674.0,17.57,2026-08-03,2028-11-01
4012,Bamble,Skien,5868.0,5868.0,21.67,2027-06-14,2034-01-06
4014,Kragerø,Skien,8153.0,8153.0,27.77,2027-06-03,2033-11-22
4016,Drangedal,Skien,9597.0,9597.0,65.37,2027-03-09,2032-09-14
4018,Nome,Skien,4661.0,4661.0,29.7,2027-05-27,2033-11-04
4020,Midt-Telemark,Skien,9207.0,0.0,0.0,2026-05-01,2026-12-28
4022,Seljord,Skien,9972.0,9972.0,54.77,2026-06-26,2028-03-20
4024,Hjartdal,Skien,8171.0,8171.0,47.8,2026-07-08,2028-05-29
4026,Tinn,Skien,13385.0,13385.0,117.77,2026-05-29,2027-07-26
4028,Kviteseid,Skien,5611.0,5611.0,40.83,2026-07-29,2028-10-10
4030,Nissedal,Skien,6540.0,6540.0,46.0,2026-07-20,2028-07-31
4032,Fyresdal,Skien,5047.0,5047.0,53.2,2027-04-19,2033-04-20
4034,Tokke,Skien,6401.0,6401.0,54.03,2027-04-06,2033-03-07
4036,Vinje,Skien,12380.0,12380.0,128.93,2027-02-02,2031-12-30
4201,Risør,Kristiansand,7458.0,7458.0,23.1,2026-08-31,2029-07-23
4202,Grimstad,Kristiansand,6512.0,6512.0,23.67,2026-08-24,2029-05-10
4203,Arendal,Kristiansand,18178.0,18178.0,42.07,2027-02-18,2032-05-24
