KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
3420,Elverum,Hamar,11666.0,583.0,2.2,2027-07-06,2032-11-26
3421,Trysil,Hamar,16189.0,809.0,3.98,2027-07-05,2032-11-16
3422,Åmot,Hamar,9088.0,9088.0,36.57,2027-07-02,2032-11-01
3423,Stor-Elvdal,Hamar,13617.0,681.0,3.13,2027-06-15,2032-08-31
3424,Rendalen,Hamar,11980.0,11980.0,81.93,2026-10-05,2029-12-03
3425,Engerdal,Hamar,6538.0,327.0,2.28,2027-06-16,2032-09-07
3426,Tolga,Hamar,8559.0,428.0,1.91,2027-06-17,2032-09-22
3427,Tynset,Hamar,10498.0,10498.0,54.08,2026-10-27,2030-02-26
3428,Alvdal,Hamar,10557.0,10557.0,41.77,2026-12-01,2030-09-24
3429,Folldal,Hamar,8494.0,425.0,2.08,2027-06-16,2032-09-15
3430,Os,Hamar,5106.0,255.0,1.29,2027-06-17,2032-09-28
3431,Dovre,Hamar,8098.0,8098.0,40.73,2027-02-15,2031-09-26
3432,Lesja,Hamar,6501.0,6501.0,43.92,2026-11-13,2030-06-12
3433,Skjåk,Hamar,5069.0,5069.0,37.75,2027-05-05,2032-06-02
3434,Lom,Hamar,6259.0,6259.0,39.0,2027-04-05,2032-03-22
3435,Vågå,Hamar,10194.0,10194.0,39.83,2027-03-18,2032-02-05
3436,Nord-Fron,Hamar,12207.0,12207.0,41.25,2026-12-17,2030-12-13
3437,Sel,Hamar,14777.0,14777.0,40.53,2027-03-02,2031-10-28
3438,Sør-Fron,Hamar,7916.0,7916.0,27.98,2027-05-17,2032-06-25
3439,Ringebu,Hamar,18435.0,18435.0,57.57,2026-05-25,2027-06-16
3440,Øyer,Hamar,10070.0,10070.0,31.8,2026-07-29,2028-11-02
3441,Gausdal,Hamar,12287.0,12287.0,46.2,2026-06-12,2027-11-19
3442,Østre Toten,Hamar,4326.0,4326.0,19.78,2027-01-20,2031-06-12
3443,Vestre Toten,Hamar,3356.0,3356.0,10.07,2027-01-25,2031-06-24
3446,Gran,Hamar,8906.0,8906.0,24.92,2026-08-20,2029-04-05
3447,Søndre Land,Hamar,7653.0,7653.0,26.15,2027-01-12,2031-04-15
3448,Nordre Land,Hamar,12435.0,12435.0,44.1,2027-02-11,2031-08-12
3449,Sør-Aurdal,Hamar,13249.0,13249.0,44.13,2026-07-01,2028-05-15
3450,Etnedal,Hamar,6276.0,6276.0,18.8,2027-06-14,2032-08-18
3451,Nord-Aurdal,Hamar,13002.0,13002.0,38.72,2027-04-20,2032-05-18
3452,Vestre Slidre,Hamar,11716.0,11716.0,24.07,2026-08-31,2029-05-25
3453,Øystre Slidre,Hamar,7995.0,7995.0,28.78,2026-08-10,2029-01-23
3454,Vang,Hamar,8187.0,8187.0,35.62,2026-07-16,2028-08-22
3901,Horten,Skien,2273.0,2273.0,3.67,2027-03-31,2032-03-16
3903,Holmestrand,Skien,8664.0,8664.0,21.87,2027-03-11,2032-01-01
3905,Tønsberg,Skien,10065.0,10065.0,18.23,2027-03-16,2032-01-19
3907,Sandefjord,Skien,13753.0,13753.0,24.23,2027-03-05,2031-11-10
3909,Larvik,Skien,20251.0,20251.0,39.47,2027-01-28,2031-07-11
3911,Færder,Skien,5132.0,5132.0,6.28,2027-03-31,2032-03-12
4001,Porsgrunn,Skien,7351.0,7351.0,11.57,2027-03-26,2032-03-03
4003,Skien,Skien,11644.0,11644.0,31.73,2027-02-12,2031-09-05
4005,Notodden,Skien,8977.0,8977.0,30.73,2026-05-25,2027-06-24
4010,Siljan,Skien,2674.0,2674.0,8.78,2026-06-19,2028-01-13
4012,Bamble,Skien,5868.0,5868.0,10.83,2027-03-30,2032-03-09
4014,Kragerø,Skien,8153.0,8153.0,13.88,2027-03-23,2032-02-20
4016,Drangedal,Skien,9597.0,9597.0,32.68,2027-02-05,2031-07-28
4018,Nome,Skien,4661.0,4661.0,14.85,2027-03-19,2032-02-10
4020,Midt-Telemark,Skien,9207.0,0.0,0.0,2026-05-01,2026-10-08
4022,Seljord,Skien,9972.0,9972.0,27.38,2026-06-01,2027-08-11
4024,Hjartdal,Skien,8171.0,8171.0,23.9,2026-06-05,2027-09-22
4026,Tinn,Skien,13385.0,13385.0,58.88,2026-05-15,2027-02-25
4028,Kviteseid,Skien,5611.0,5611.0,20.42,2026-06-17,2028-01-04
4030,Nissedal,Skien,6540.0,6540.0,23.0,2026-06-12,2027-11-25
4032,Fyresdal,Skien,5047.0,5047.0,26.6,2027-02-26,2031-10-14
4034,Tokke,Skien,6401.0,6401.0,27.02,2027-02-19,2031-10-03
4036,Vinje,Skien,12380.0,12380.0,64.47,2027-01-18,2031-05-30
4201,Risør,Kristiansand,7458.0,7458.0,11.55,2026-07-06,2028-06-28
4202,Grimstad,Kristiansand,6512.0,6512.0,11.83,2026-07-01,2028-05-19
4203,Arendal,Kristiansand,18178.0,18178.0,21.03,2026-11-27,2030-08-21
4204,Kristiansand,Kristiansand,27939.0,27939.0,41.0,2026-11-11,2030-06-04
4205,Lindesnes,Kristiansand,30608.0,30608.0,56.22,2026-10-28,2030-03-27
4206,Farsund,Kristiansand,8160.0,8160.0,12.6,2026-06-26,2028-03-29
4207,Flekkefjord,Kristiansand,10002.0,10002.0,21.62,2026-08-06,2029-01-05
4211,Gjerstad,Kristiansand,5328.0,266.0,0.78,2026-07-09,2028-07-27
4212,Vegårshei,Kristiansand,8548.0,8548.0,19.25,2026-06-17,2028-01-11
4213,Tvedestrand,Kristiansand,8806.0,8806.0,14.6,2026-06-23,2028-02-23
4214,Froland,Kristiansand,6254.0,313.0,1.01,2026-07-09,2028-07-21
4215,Lillesand,Kristiansand,6111.0,6111.0,9.43,2026-07-08,2028-07-04
