Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,4205,500,1766,2784,3702
Basis_85,MIP_vektet,4206,500,850,1390,2103
Basis_85,MIP_vektet,4207,500,1265,2001,2755
Basis_85,MIP_vektet,4211,500,1005,1600,2324
Basis_85,MIP_vektet,4212,500,691,1214,1911
Basis_85,MIP_vektet,4213,500,797,1342,2079
Basis_85,MIP_vektet,4214,500,1007,1596,2336
Basis_85,MIP_vektet,4215,500,915,1502,2218
Basis_85,MIP_vektet,4216,500,640,1068,1777
Basis_85,MIP_vektet,4217,500,517,964,1498
Basis_85,MIP_vektet,4218,500,996,1582,2313
Basis_85,MIP_vektet,4219,500,1790,2776,3756
Basis_85,MIP_vektet,4220,500,550,970,1692
Basis_85,MIP_vektet,4221,500,1189,1911,2748
Basis_85,MIP_vektet,4222,500,1606,2523,3359
Basis_85,MIP_vektet,4223,500,1822,2877,3826
Basis_85,MIP_vektet,4224,500,1775,2784,3658
Basis_85,MIP_vektet,4225,500,1718,2738,3664
Basis_85,MIP_vektet,4226,500,158,245,327
Basis_85,MIP_vektet,4227,500,562,1005,1649
Basis_85,MIP_vektet,4228,500,1167,1892,2713
Basis_85,MIP_vektet,4601,499,557,3484,4662
Basis_85,MIP_vektet,4602,499,732,2310,4485
Basis_85,MIP_vektet,4611,500,571,1370,2247
Basis_85,MIP_vektet,4612,498,2268,3568,4759
Basis_85,MIP_vektet,4613,497,2329,3602,4774
Basis_85,MIP_vektet,4614,498,2319,3597,4765
Basis_85,MIP_vektet,4615,500,163,252,335
Basis_85,MIP_vektet,4616,500,170,263,349
Basis_85,MIP_vektet,4617,500,606,1202,2140
Basis_85,MIP_vektet,4618,500,374,605,969
Basis_85,MIP_vektet,4619,500,488,1018,1902
Basis_85,MIP_vektet,4620,500,1065,1819,2400
Basis_85,MIP_vektet,4621,500,340,551,1062
Basis_85,MIP_vektet,4622,500,640,1331,2254
Basis_85,MIP_vektet,4623,500,1247,1986,2681
Basis_85,MIP_vektet,4624,500,786,1630,2390
Basis_85,MIP_vektet,4625,500,171,265,353
Basis_85,MIP_vektet,4626,500,762,1664,2434
Basis_85,MIP_vektet,4627,500,1223,1979,2679
Basis_85,MIP_vektet,4628,498,2246,3489,4626
Basis_85,MIP_vektet,4629,500,172,269,355
Basis_85,MIP_vektet,4630,498,2245,3498,4633
Basis_85,MIP_vektet,4631,498,2236,3480,4603
Basis_85,MIP_vektet,4632,500,1264,2044,2721
Basis_85,MIP_vektet,4633,500,173,269,356
Basis_85,MIP_vektet,4634,498,2247,3487,4641
Basis_85,MIP_vektet,4635,498,2255,3491,4634
Basis_85,MIP_vektet,4636,500,1256,2029,2729
Basis_85,MIP_vektet,4637,500,1167,1939,2650
Basis_85,MIP_vektet,4638,498,1049,3268,4553
Basis_85,MIP_vektet,4639,498,786,2572,4511
Basis_85,MIP_vektet,4640,500,517,895,1473
Basis_85,MIP_vektet,4641,500,573,1167,3932
Basis_85,MIP_vektet,4642,499,731,1559,4382
Basis_85,MIP_vektet,4643,500,937,1659,2366
Basis_85,MIP_vektet,4644,500,404,807,1567
Basis_85,MIP_vektet,4645,500,1139,1891,2588
Basis_85,MIP_vektet,4646,500,1166,1874,2559
Basis_85,MIP_vektet,4647,500,440,827,1474
Basis_85,MIP_vektet,4648,499,849,3255,4487
Basis_85,MIP_vektet,4649,500,487,1183,4152
Basis_85,MIP_vektet,4650,499,619,1550,4374
Basis_85,MIP_vektet,4651,500,506,1081,4039
Basis_85,MIP_vektet,5001,500,478,1181,2146
Basis_85,MIP_vektet,5006,500,187,291,385
Basis_85,MIP_vektet,5007,500,195,304,403
Basis_85,MIP_vektet,5014,500,200,312,413
Basis_85,MIP_vektet,5020,500,202,314,418
Basis_85,MIP_vektet,5021,500,773,1471,2492
Basis_85,MIP_vektet,5022,500,210,327,434
Basis_85,MIP_vektet,5025,500,347,633,1341
Basis_85,MIP_vektet,5026,500,642,1232,2056
Basis_85,MIP_vektet,5027,500,373,2730,4140
Basis_85,MIP_vektet,5028,500,1837,3211,4270
Basis_85,MIP_vektet,5029,500,2083,3252,4344
Basis_85,MIP_vektet,5031,500,214,332,440
Basis_85,MIP_vektet,5032,500,678,1214,2064
Basis_85,MIP_vektet,5033,500,538,1124,1840
Basis_85,MIP_vektet,5034,500,601,1147,1887
Basis_85,MIP_vektet,5035,500,418,878,1785
Basis_85,MIP_vektet,5036,500,215,335,445
Basis_85,MIP_vektet,5037,500,227,353,468
Basis_85,MIP_vektet,5038,500,557,1187,1998
Basis_85,MIP_vektet,5041,500,397,784,1396
Basis_85,MIP_vektet,5042,500,432,781,1224
Basis_85,MIP_vektet,5043,500,1070,1727,2370
Basis_85,MIP_vektet,5044,500,908,1560,2148
Basis_85,MIP_vektet,5045,500,670,1309,2064
Basis_85,MIP_vektet,5046,500,1139,1846,2539
Basis_85,MIP_vektet,5047,500,928,1716,2397
Basis_85,MIP_vektet,5049,500,1214,1917,2617
Basis_85,MIP_vektet,5052,500,228,354,469
Basis_85,MIP_vektet,5053,500,899,1651,2426
Basis_85,MIP_vektet,5054,500,411,943,1809
Basis_85,MIP_vektet,5055,500,524,1128,2086
Basis_85,MIP_vektet,5056,500,800,1575,2317
Basis_85,MIP_vektet,5057,500,230,360,476
Basis_85,MIP_vektet,5058,500,538,1133,2007
Basis_85,MIP_vektet,5059,500,319,635,3904
Basis_85,MIP_vektet,5060,500,237,370,490
Basis_85,MIP_vektet,5061,500,954,1749,2379
Basis_85,MIP_vektet,5501,498,2157,3590,4753
Basis_85,MIP_vektet,5503,500,1522,2356,3169
Basis_85,MIP_vektet,5510,500,243,377,502
Basis_85,MIP_vektet,5512,500,697,1329,1978
Basis_85,MIP_vektet,5514,500,1133,1796,2434
Basis_85,MIP_vektet,5516,500,1568,2423,3294
Basis_85,MIP_vektet,5518,500,1574,2434,3286
Basis_85,MIP_vektet,5520,500,1483,2293,3091
Basis_85,MIP_vektet,5522,500,1552,2418,3261
Basis_85,MIP_vektet,5524,500,1186,1837,2497
Basis_85,MIP_vektet,5526,500,1080,1716,2455
