KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,7,73
3424,Rendalen,Hamar,Tromsø,True,81.93,11980.0,5,69
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,4,62
3426,Tolga,Hamar,Hamar,False,1.91,8559.0,4,61
3427,Tynset,Hamar,Stavanger,True,54.08,10498.0,4,59
3428,Alvdal,Hamar,Trondheim,True,41.77,10557.0,5,70
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,4,61
3430,Os,Hamar,Hamar,False,1.29,5106.0,4,63
3431,Dovre,Hamar,Kristiansand,True,40.73,8098.0,4,61
3432,Lesja,Hamar,Skien,True,43.92,6501.0,4,62
3433,Skjåk,Hamar,Kristiansand,True,37.75,5069.0,4,63
3434,Lom,Hamar,Skien,True,39.0,6259.0,4,63
3435,Vågå,Hamar,Molde,True,39.83,10194.0,4,60
3436,Nord-Fron,Hamar,Stavanger,True,41.25,12207.0,4,58
3437,Sel,Hamar,Tromsø,True,40.53,14777.0,4,57
3438,Sør-Fron,Hamar,Hamar,False,27.98,7916.0,4,61
3439,Ringebu,Hamar,Hamar,False,57.57,18435.0,0,2
3440,Øyer,Hamar,Hamar,False,31.8,10070.0,1,27
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,3,44
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,0,15
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,0,17
3446,Gran,Hamar,Hamar,False,24.92,8906.0,2,36
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,1,28
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,8,76
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,3,43
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,4,63
3451,Nord-Aurdal,Hamar,Trondheim,True,38.72,13002.0,4,58
3452,Vestre Slidre,Hamar,Hamar,False,24.07,11716.0,2,33
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,1,28
3454,Vang,Hamar,Hamar,False,35.62,8187.0,2,37
3901,Horten,Skien,Skien,False,3.67,2273.0,8,79
3903,Holmestrand,Skien,Skien,False,21.87,8664.0,8,77
3905,Tønsberg,Skien,Skien,False,18.23,10065.0,8,77
3907,Sandefjord,Skien,Skien,False,24.23,13753.0,8,75
3909,Larvik,Skien,Bergen,True,39.47,20251.0,8,75
3911,Færder,Skien,Skien,False,6.28,5132.0,8,79
4001,Porsgrunn,Skien,Skien,False,11.57,7351.0,8,78
4003,Skien,Skien,Skien,False,31.73,11644.0,8,76
4005,Notodden,Skien,Skien,False,30.73,8977.0,0,8
4010,Siljan,Skien,Skien,False,8.78,2674.0,3,53
4012,Bamble,Skien,Skien,False,10.83,5868.0,8,78
4014,Kragerø,Skien,Skien,False,13.88,8153.0,8,78
4016,Drangedal,Skien,Trondheim,True,32.68,9597.0,8,77
4018,Nome,Skien,Skien,False,14.85,4661.0,8,79
4022,Seljord,Skien,Skien,False,27.38,9972.0,3,45
4024,Hjartdal,Skien,Skien,False,23.9,8171.0,3,46
4026,Tinn,Skien,Skien,False,58.88,13385.0,1,24
4028,Kviteseid,Skien,Skien,False,20.42,5611.0,3,50
4030,Nissedal,Skien,Skien,False,23.0,6540.0,1,29
4032,Fyresdal,Skien,Skien,False,26.6,5047.0,8,79
4034,Tokke,Skien,Skien,False,27.02,6401.0,8,78
4036,Vinje,Skien,Bodø,True,64.47,12380.0,8,76
4201,Risør,Kristiansand,Kristiansand,False,11.55,7458.0,3,47
4202,Grimstad,Kristiansand,Kristiansand,False,11.83,6512.0,2,39
4203,Arendal,Kristiansand,Kristiansand,False,21.03,18178.0,5,68
4204,Kristiansand,Kristiansand,Tromsø,True,41.0,27939.0,5,67
4205,Lindesnes,Kristiansand,Hamar,True,56.22,30608.0,5,67
4206,Farsund,Kristiansand,Kristiansand,False,12.6,8160.0,3,47
4207,Flekkefjord,Kristiansand,Kristiansand,False,21.62,10002.0,2,34
4211,Gjerstad,Kristiansand,Kristiansand,False,0.78,5328.0,3,51
4212,Vegårshei,Kristiansand,Kristiansand,False,19.25,8548.0,2,36
4213,Tvedestrand,Kristiansand,Kristiansand,False,14.6,8806.0,3,46
4214,Froland,Kristiansand,Kristiansand,False,1.01,6254.0,3,50
4215,Lillesand,Kristiansand,Kristiansand,False,9.43,6111.0,3,50
4216,Birkenes,Kristiansand,Kristiansand,False,26.37,10577.0,0,5
4217,Åmli,Kristiansand,Kristiansand,False,31.8,8190.0,1,28
4218,Iveland,Kristiansand,Kristiansand,False,2.01,3446.0,3,53
4219,Evje og Hornnes,Kristiansand,Kristiansand,False,20.05,7758.0,5,71
4220,Bygland,Kristiansand,Kristiansand,False,29.77,7574.0,2,38
4221,Valle,Kristiansand,Kristiansand,False,29.77,7136.0,2,38
4222,Bykle,Kristiansand,Kristiansand,False,23.13,4958.0,5,71
4223,Vennesla,Kristiansand,Kristiansand,False,2.02,10530.0,5,70
4224,Åseral,Kristiansand,Kristiansand,False,19.07,5558.0,5,71
4225,Lyngdal,Kristiansand,Kristiansand,False,27.52,13449.0,6,72
4227,Kvinesdal,Kristiansand,Kristiansand,False,29.9,10186.0,1,26
4228,Sirdal,Kristiansand,Kristiansand,False,31.2,8126.0,2,37
