KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,4,2026-09-15,16,2027-09-15
3407,Gjøvik,Hamar,Tromsø,True,24.6,7897.0,8,2027-01-15,25,2028-06-15
3411,Ringsaker,Hamar,Bergen,True,1.96,12701.0,7,2026-12-15,24,2028-05-15
3412,Løten,Hamar,Molde,True,0.54,2884.0,7,2026-12-15,25,2028-06-15
3413,Stange,Hamar,Stavanger,True,1.18,7796.0,5,2026-10-15,22,2028-03-15
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,2026-12-15,25,2028-06-15
3420,Elverum,Hamar,Molde,True,2.2,11666.0,7,2026-12-15,25,2028-06-15
3421,Trysil,Hamar,Skien,True,3.98,16189.0,7,2026-12-15,25,2028-06-15
3422,Åmot,Hamar,Bergen,True,36.57,9088.0,7,2026-12-15,25,2028-06-15
3423,Stor-Elvdal,Hamar,Molde,True,3.13,13617.0,7,2026-12-15,25,2028-06-15
3424,Rendalen,Hamar,Trondheim,True,81.93,11980.0,4,2026-09-15,17,2027-10-15
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,5,2026-10-15,22,2028-03-15
3426,Tolga,Hamar,Oslo,True,1.91,8559.0,5,2026-10-15,22,2028-03-15
3427,Tynset,Hamar,Skien,True,54.08,10498.0,4,2026-09-15,17,2027-10-15
3428,Alvdal,Hamar,Oslo,True,41.77,10557.0,4,2026-09-15,17,2027-10-15
3429,Folldal,Hamar,Tromsø,True,2.08,8494.0,5,2026-10-15,22,2028-03-15
3430,Os,Hamar,Trondheim,True,1.29,5106.0,5,2026-10-15,22,2028-03-15
3431,Dovre,Hamar,Tromsø,True,40.73,8098.0,4,2026-09-15,17,2027-10-15
3432,Lesja,Hamar,Trondheim,True,43.92,6501.0,4,2026-09-15,17,2027-10-15
3433,Skjåk,Hamar,Hamar,False,37.75,5069.0,4,2026-09-15,17,2027-10-15
3434,Lom,Hamar,Oslo,True,39.0,6259.0,4,2026-09-15,17,2027-10-15
3435,Vågå,Hamar,Trondheim,True,39.83,10194.0,4,2026-09-15,17,2027-10-15
3436,Nord-Fron,Hamar,Skien,True,41.25,12207.0,4,2026-09-15,17,2027-10-15
3437,Sel,Hamar,Bergen,True,40.53,14777.0,4,2026-09-15,17,2027-10-15
3438,Sør-Fron,Hamar,Trondheim,True,27.98,7916.0,4,2026-09-15,18,2027-11-15
3439,Ringebu,Hamar,Trondheim,True,57.57,18435.0,3,2026-08-15,13,2027-06-15
3440,Øyer,Hamar,Trondheim,True,31.8,10070.0,3,2026-08-15,13,2027-06-15
3441,Gausdal,Hamar,Stavanger,True,46.2,12287.0,0,2026-05-15,3,2026-08-15
3442,Østre Toten,Hamar,Tromsø,True,19.78,4326.0,1,2026-06-15,7,2026-12-15
3443,Vestre Toten,Hamar,Trondheim,True,10.07,3356.0,0,2026-05-15,3,2026-08-15
3446,Gran,Hamar,Hamar,False,24.92,8906.0,3,2026-08-15,13,2027-06-15
3447,Søndre Land,Hamar,Bodø,True,26.15,7653.0,0,2026-05-15,3,2026-08-15
3448,Nordre Land,Hamar,Stavanger,True,44.1,12435.0,8,2027-01-15,25,2028-06-15
3449,Sør-Aurdal,Hamar,Tromsø,True,44.13,13249.0,3,2026-08-15,13,2027-06-15
3450,Etnedal,Hamar,Molde,True,18.8,6276.0,4,2026-09-15,18,2027-11-15
3451,Nord-Aurdal,Hamar,Tromsø,True,38.72,13002.0,4,2026-09-15,18,2027-11-15
3452,Vestre Slidre,Hamar,Trondheim,True,24.07,11716.0,3,2026-08-15,13,2027-06-15
3453,Øystre Slidre,Hamar,Skien,True,28.78,7995.0,0,2026-05-15,3,2026-08-15
3454,Vang,Hamar,Oslo,True,35.62,8187.0,0,2026-05-15,3,2026-08-15
3901,Horten,Skien,Bergen,True,3.67,2273.0,8,2027-01-15,25,2028-06-15
3903,Holmestrand,Skien,Kristiansand,True,21.87,8664.0,8,2027-01-15,25,2028-06-15
3905,Tønsberg,Skien,Bodø,True,18.23,10065.0,8,2027-01-15,26,2028-07-15
3907,Sandefjord,Skien,Trondheim,True,24.23,13753.0,8,2027-01-15,26,2028-07-15
3909,Larvik,Skien,Oslo,True,39.47,20251.0,8,2027-01-15,26,2028-07-15
3911,Færder,Skien,Hamar,True,6.28,5132.0,8,2027-01-15,26,2028-07-15
4001,Porsgrunn,Skien,Bodø,True,11.57,7351.0,8,2027-01-15,26,2028-07-15
4003,Skien,Skien,Stavanger,True,31.73,11644.0,8,2027-01-15,26,2028-07-15
4005,Notodden,Skien,Trondheim,True,30.73,8977.0,3,2026-08-15,14,2027-07-15
4010,Siljan,Skien,Bergen,True,8.78,2674.0,3,2026-08-15,14,2027-07-15
4012,Bamble,Skien,Bodø,True,10.83,5868.0,8,2027-01-15,26,2028-07-15
4014,Kragerø,Skien,Tromsø,True,13.88,8153.0,8,2027-01-15,26,2028-07-15
4016,Drangedal,Skien,Kristiansand,True,32.68,9597.0,8,2027-01-15,26,2028-07-15
4018,Nome,Skien,Kristiansand,True,14.85,4661.0,8,2027-01-15,26,2028-07-15
4022,Seljord,Skien,Bergen,True,27.38,9972.0,3,2026-08-15,14,2027-07-15
4024,Hjartdal,Skien,Kristiansand,True,23.9,8171.0,3,2026-08-15,14,2027-07-15
