KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,7,110
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,7,108
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,7,110
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,7,109
3424,Rendalen,Hamar,Skien,True,81.93,11980.0,5,88
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,6,105
3426,Tolga,Hamar,Stavanger,True,1.91,8559.0,6,103
3427,Tynset,Hamar,Skien,True,54.08,10498.0,5,90
3428,Alvdal,Hamar,Oslo,True,41.77,10557.0,6,102
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,6,104
3430,Os,Hamar,Hamar,False,1.29,5106.0,5,94
3431,Dovre,Hamar,Trondheim,True,40.73,8098.0,5,91
3432,Lesja,Hamar,Stavanger,True,43.92,6501.0,4,78
3433,Skjåk,Hamar,Trondheim,True,37.75,5069.0,5,94
3434,Lom,Hamar,Hamar,False,39.0,6259.0,7,111
3435,Vågå,Hamar,Trondheim,True,39.83,10194.0,4,74
3436,Nord-Fron,Hamar,Skien,True,41.25,12207.0,4,72
3437,Sel,Hamar,Molde,True,40.53,14777.0,4,70
3438,Sør-Fron,Hamar,Hamar,False,27.98,7916.0,6,104
3439,Ringebu,Hamar,Stavanger,True,57.57,18435.0,1,27
3440,Øyer,Hamar,Skien,True,31.8,10070.0,2,44
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,2,41
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,1,34
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,1,35
3446,Gran,Hamar,Hamar,False,24.92,8906.0,3,61
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,0,13
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,8,113
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,0,5
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,5,93
3451,Nord-Aurdal,Hamar,Hamar,False,38.72,13002.0,6,101
3452,Vestre Slidre,Hamar,Kristiansand,True,24.07,11716.0,2,42
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,3,63
3454,Vang,Hamar,Hamar,False,35.62,8187.0,1,31
3901,Horten,Skien,Skien,False,3.67,2273.0,8,117
3903,Holmestrand,Skien,Skien,False,21.87,8664.0,8,115
3905,Tønsberg,Skien,Bergen,True,18.23,10065.0,8,114
3907,Sandefjord,Skien,Tromsø,True,24.23,13753.0,9,118
3909,Larvik,Skien,Trondheim,True,39.47,20251.0,8,113
3911,Færder,Skien,Skien,False,6.28,5132.0,8,117
4001,Porsgrunn,Skien,Skien,False,11.57,7351.0,8,116
4003,Skien,Skien,Bodø,True,31.73,11644.0,8,114
4005,Notodden,Skien,Skien,False,30.73,8977.0,1,30
4010,Siljan,Skien,Molde,True,8.78,2674.0,2,50
4012,Bamble,Skien,Skien,False,10.83,5868.0,8,117
4014,Kragerø,Skien,Skien,False,13.88,8153.0,8,115
4016,Drangedal,Skien,Trondheim,True,32.68,9597.0,8,115
4018,Nome,Skien,Kristiansand,True,14.85,4661.0,8,117
4022,Seljord,Skien,Stavanger,True,27.38,9972.0,3,60
4024,Hjartdal,Skien,Oslo,True,23.9,8171.0,4,76
4026,Tinn,Skien,Hamar,True,58.88,13385.0,4,70
4028,Kviteseid,Skien,Skien,False,20.42,5611.0,3,65
4030,Nissedal,Skien,Bodø,True,23.0,6540.0,4,78
4032,Fyresdal,Skien,Bergen,True,26.6,5047.0,8,117
4034,Tokke,Skien,Oslo,True,27.02,6401.0,8,116
4036,Vinje,Skien,Stavanger,True,64.47,12380.0,9,119
4201,Risør,Kristiansand,Kristiansand,False,11.55,7458.0,3,63
4202,Grimstad,Kristiansand,Trondheim,True,11.83,6512.0,4,78
4203,Arendal,Kristiansand,Kristiansand,False,21.03,18178.0,6,100
4204,Kristiansand,Kristiansand,Kristiansand,False,41.0,27939.0,5,85
4205,Lindesnes,Kristiansand,Molde,True,56.22,30608.0,5,83
4206,Farsund,Kristiansand,Bergen,True,12.6,8160.0,3,62
4207,Flekkefjord,Kristiansand,Kristiansand,False,21.62,10002.0,2,44
4211,Gjerstad,Kristiansand,Kristiansand,False,0.78,5328.0,4,80
4212,Vegårshei,Kristiansand,Kristiansand,False,19.25,8548.0,3,61
4213,Tvedestrand,Kristiansand,Kristiansand,False,14.6,8806.0,4,76
4214,Froland,Kristiansand,Oslo,True,1.01,6254.0,4,78
4215,Lillesand,Kristiansand,Bodø,True,9.43,6111.0,3,64
4216,Birkenes,Kristiansand,Oslo,True,26.37,10577.0,0,7
4217,Åmli,Kristiansand,Kristiansand,False,31.8,8190.0,3,62
4218,Iveland,Kristiansand,Kristiansand,False,2.01,3446.0,3,67
4219,Evje og Hornnes,Kristiansand,Kristiansand,False,20.05,7758.0,6,105
4220,Bygland,Kristiansand,Kristiansand,False,29.77,7574.0,3,63
4221,Valle,Kristiansand,Kristiansand,False,29.77,7136.0,4,77
4222,Bykle,Kristiansand,Bergen,True,23.13,4958.0,5,95
4223,Vennesla,Kristiansand,Kristiansand,False,2.02,10530.0,6,102
4224,Åseral,Kristiansand,Kristiansand,False,19.07,5558.0,5,94
4225,Lyngdal,Kristiansand,Kristiansand,False,27.52,13449.0,5,86
4227,Kvinesdal,Kristiansand,Trondheim,True,29.9,10186.0,2,43
4228,Sirdal,Kristiansand,Kristiansand,False,31.2,8126.0,2,46
4601,Bergen,Bergen,Bergen,False,30.6,30466.0,0,1
