Kartblad,Objekttype,Minutter,Lengde_M,Lengde_Km,Min_Per_Km,Min_Per_Km2,Region
32-5-522-227-01,Kartblad,8,12687.1797153466,12.6871797153466,0.6305577897917756,1.0416666666666667,hvajen
32-5-521-229-10,Kartblad,16,12133.2018198771,12.133201819877101,1.318695612050906,2.0833333333333335,hvajen
32-5-521-228-11,Kartblad,9,10598.3928189113,10.5983928189113,0.8491853579856751,1.171875,hvajen
32-5-521-228-10,Kartblad,1,3367.93315677312,3.36793315677312,0.29691800681641756,0.13020833333333334,hvajen
32-5-521-227-11,Kartblad,6,12435.9768986412,12.4359768986412,0.48247114391597024,0.78125,hvajen
32-5-521-227-01,Kartblad,1,7600.05649194385,7.6000564919438505,0.13157796932957166,0.13020833333333334,hvajen
32-5-521-228-00,Kartblad,6,11993.9026337946,11.9939026337946,0.5002541860806933,0.78125,hvajen
32-5-521-228-01,Kartblad,10,13072.0123824713,13.0720123824713,0.7649931554080637,1.3020833333333335,hvajen
32-5-521-229-00,Kartblad,7,9239.26617570875,9.23926617570875,0.7576359276674942,0.9114583333333334,hvajen
32-5-520-229-10,Kartblad,10,19140.1200626954,19.140120062695402,0.5224627623674244,1.3020833333333335,hvajen
32-5-520-228-11,Kartblad,7,18016.0318159174,18.016031815917398,0.3885428307145533,0.9114583333333334,hvajen
32-5-520-228-10,Kartblad,7,12759.4304821081,12.759430482108101,0.548613828008683,0.9114583333333334,hvajen
32-5-520-227-11,Kartblad,18,22720.7154158238,22.7207154158238,0.7922285751382605,2.34375,hvajen
32-5-520-227-01,Kartblad,21,24963.399262396,24.963399262396,0.841231587864465,2.734375,hvajen
32-5-520-228-00,Kartblad,10,17965.2458765919,17.9652458765919,0.556630288763799,1.3020833333333335,hvajen
32-5-519-229-01,Kartblad,25,26524.0798096778,26.5240798096778,0.9425397668603865,3.2552083333333335,hvajen
32-5-518-229-11,Kartblad,18,14992.3414285807,14.9923414285807,1.2006129986931622,2.34375,hvajen
32-5-518-228-00,Kartblad,8,6165.41479342616,6.16541479342616,1.2975607105186104,1.0416666666666667,hvajen
32-5-518-227-11,Kartblad,20,19456.9239028287,19.456923902828702,1.0279117140964067,2.604166666666667,hvajen
32-5-518-229-10,Kartblad,15,8826.47733410851,8.826477334108509,1.6994322233214039,1.953125,hvajen
32-5-529-143-01,Kartblad,5,8814.05652829351,8.81405652829351,0.567,0.6510416666666667,hoiani
32-5-528-143-11,Kartblad,5,16203.1897760017,16.2031897760017,0.309,0.6510416666666667,hoiani
32-5-528-143-01,Kartblad,8,16320.1686031873,16.320168603187298,0.49,1.0416666666666667,hoiani
32-5-527-143-11,Kartblad,20,15666.0416194361,15.6660416194361,1.277,2.604166666666667,hoiani
32-5-527-143-01,Kartblad,15,13412.3682303418,13.412368230341801,1.118,1.953125,hoiani
32-5-526-143-11,Kartblad,20,13750.8319520207,13.7508319520207,1.454,2.604166666666667,hoiani
32-5-526-143-01,Kartblad,10,10017.8406862094,10.0178406862094,0.998,1.3020833333333335,hoiani
32-5-526-141-00,Kartblad,20,12065.1816964289,12.0651816964289,1.658,2.604166666666667,hoiani
32-5-526-140-11,Kartblad,8,11733.5564209362,11.7335564209362,0.682,1.0416666666666667,hoiani
32-5-525-143-11,Kartblad,5,10980.7436163188,10.980743616318799,0.455,0.6510416666666667,hoiani
32-5-525-141-10,Kartblad,23,23112.7644231319,23.1127644231319,0.995,2.994791666666667,hoiani
