KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
3433,Skjåk,Hamar,Hamar,False,37.75,5069.0,4,14
3434,Lom,Hamar,Stavanger,True,39.0,6259.0,4,14
3435,Vågå,Hamar,Oslo,True,39.83,10194.0,4,14
3436,Nord-Fron,Hamar,Skien,True,41.25,12207.0,5,18
3437,Sel,Hamar,Molde,True,40.53,14777.0,4,14
3438,Sør-Fron,Hamar,Bodø,True,27.98,7916.0,6,22
3439,Ringebu,Hamar,Stavanger,True,57.57,18435.0,4,14
3440,Øyer,Hamar,Hamar,False,31.8,10070.0,2,9
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,5,18
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,0,2
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,0,2
3446,Gran,Hamar,Hamar,False,24.92,8906.0,3,11
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,0,3
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,8,25
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,2,9
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,5,18
3451,Nord-Aurdal,Hamar,Hamar,False,38.72,13002.0,6,22
3452,Vestre Slidre,Hamar,Hamar,False,24.07,11716.0,3,11
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,1,6
3454,Vang,Hamar,Hamar,False,35.62,8187.0,1,6
3901,Horten,Skien,Skien,False,3.67,2273.0,8,25
3903,Holmestrand,Skien,Skien,False,21.87,8664.0,8,25
3905,Tønsberg,Skien,Skien,False,18.23,10065.0,8,26
3907,Sandefjord,Skien,Trondheim,True,24.23,13753.0,8,26
3909,Larvik,Skien,Stavanger,True,39.47,20251.0,8,26
3911,Færder,Skien,Skien,False,6.28,5132.0,8,26
4001,Porsgrunn,Skien,Skien,False,11.57,7351.0,8,26
4003,Skien,Skien,Stavanger,True,31.73,11644.0,8,26
4005,Notodden,Skien,Skien,False,30.73,8977.0,3,11
4010,Siljan,Skien,Skien,False,8.78,2674.0,5,18
4012,Bamble,Skien,Skien,False,10.83,5868.0,8,26
4014,Kragerø,Skien,Skien,False,13.88,8153.0,8,26
4016,Drangedal,Skien,Kristiansand,True,32.68,9597.0,8,26
4018,Nome,Skien,Skien,False,14.85,4661.0,8,26
4022,Seljord,Skien,Skien,False,27.38,9972.0,5,18
4024,Hjartdal,Skien,Skien,False,23.9,8171.0,4,14
4026,Tinn,Skien,Skien,False,58.88,13385.0,1,6
4028,Kviteseid,Skien,Skien,False,20.42,5611.0,3,11
4030,Nissedal,Skien,Skien,False,23.0,6540.0,3,11
4032,Fyresdal,Skien,Tromsø,True,26.6,5047.0,8,27
4034,Tokke,Skien,Tromsø,True,27.02,6401.0,8,27
4036,Vinje,Skien,Oslo,True,64.47,12380.0,8,27
4201,Risør,Kristiansand,Kristiansand,False,11.55,7458.0,4,14
4202,Grimstad,Kristiansand,Kristiansand,False,11.83,6512.0,4,15
4203,Arendal,Kristiansand,Kristiansand,False,21.03,18178.0,6,23
4204,Kristiansand,Kristiansand,Kristiansand,False,41.0,27939.0,6,23
4205,Lindesnes,Kristiansand,Molde,True,56.22,30608.0,6,23
4206,Farsund,Kristiansand,Kristiansand,False,12.6,8160.0,4,15
4207,Flekkefjord,Kristiansand,Kristiansand,False,21.62,10002.0,3,11
4211,Gjerstad,Kristiansand,Kristiansand,False,0.78,5328.0,0,3
4212,Vegårshei,Kristiansand,Kristiansand,False,19.25,8548.0,4,15
4213,Tvedestrand,Kristiansand,Kristiansand,False,14.6,8806.0,4,15
4214,Froland,Kristiansand,Kristiansand,False,1.01,6254.0,4,15
4215,Lillesand,Kristiansand,Kristiansand,False,9.43,6111.0,4,15
4216,Birkenes,Kristiansand,Bergen,True,26.37,10577.0,3,11
4217,Åmli,Kristiansand,Kristiansand,False,31.8,8190.0,3,11
4218,Iveland,Kristiansand,Kristiansand,False,2.01,3446.0,4,15
4219,Evje og Hornnes,Kristiansand,Kristiansand,False,20.05,7758.0,5,18
4220,Bygland,Kristiansand,Kristiansand,False,29.77,7574.0,1,6
4221,Valle,Kristiansand,Kristiansand,False,29.77,7136.0,2,9
4222,Bykle,Kristiansand,Kristiansand,False,23.13,4958.0,5,18
4223,Vennesla,Kristiansand,Kristiansand,False,2.02,10530.0,6,23
4224,Åseral,Kristiansand,Kristiansand,False,19.07,5558.0,5,18
4225,Lyngdal,Kristiansand,Kristiansand,False,27.52,13449.0,5,18
4227,Kvinesdal,Kristiansand,Kristiansand,False,29.9,10186.0,3,12
4228,Sirdal,Kristiansand,Kristiansand,False,31.2,8126.0,2,9
