KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
3226,Aurskog-Høland,Oslo,10975.0,10975.0,55.05,2026-10-23,2029-05-16
3228,Nes,Oslo,7813.0,7813.0,38.2,2027-01-07,2030-04-18
3230,Gjerdrum,Oslo,1443.0,0.0,0.0,2026-05-01,2026-07-28
3232,Nittedal,Oslo,5357.0,5357.0,17.0,2027-05-19,2031-11-03
3234,Lunner,Oslo,5579.0,0.0,0.0,2026-05-01,2026-08-03
3236,Jevnaker,Oslo,3494.0,0.0,0.0,2026-05-01,2026-08-05
3238,Nannestad,Oslo,4444.0,0.0,0.0,2026-05-01,2026-08-10
3240,Eidsvoll,Oslo,5707.0,0.0,0.0,2026-05-01,2026-08-14
3242,Hurdal,Oslo,4543.0,0.0,0.0,2026-05-01,2026-08-19
3301,Drammen,Oslo,11937.0,11937.0,29.3,2027-03-18,2031-02-21
3303,Kongsberg,Oslo,18936.0,18936.0,61.3,2026-09-15,2028-12-08
3305,Ringerike,Oslo,27311.0,27311.0,102.12,2026-06-05,2027-06-01
3310,Hole,Oslo,3102.0,0.0,0.0,2026-05-01,2026-08-21
3312,Lier,Oslo,6724.0,6724.0,23.15,2027-04-26,2031-08-06
3314,Øvre Eiker,Oslo,6486.0,6486.0,27.6,2027-04-07,2031-05-09
3316,Modum,Oslo,10613.0,10613.0,38.1,2027-01-21,2030-07-01
3318,Krødsherad,Oslo,7775.0,0.0,0.0,2026-05-01,2026-08-28
3320,Flå,Oslo,6856.0,6856.0,34.98,2027-02-26,2030-11-25
3322,Nesbyen,Oslo,11185.0,11185.0,51.42,2026-11-10,2029-08-21
3324,Gol,Oslo,9600.0,9600.0,38.9,2026-12-25,2030-03-05
3326,Hemsedal,Oslo,8110.0,8110.0,35.08,2027-02-15,2030-10-17
3328,Ål,Oslo,16194.0,16194.0,68.78,2026-08-03,2028-06-06
3330,Hol,Oslo,14988.0,11990.0,67.12,2026-08-25,2028-08-17
3332,Sigdal,Oslo,17054.0,17054.0,56.48,2026-10-05,2029-02-28
3334,Flesberg,Oslo,10021.0,0.0,0.0,2026-05-01,2026-09-08
3336,Rollag,Oslo,7744.0,5034.0,17.06,2027-05-13,2031-10-01
3338,Nore og Uvdal,Oslo,13281.0,13281.0,99.05,2026-07-09,2027-12-02
3401,Kongsvinger,Hamar,10212.0,511.0,2.85,2026-10-30,2029-06-25
3403,Hamar,Hamar,3151.0,158.0,0.83,2028-02-08,2033-01-18
3405,Lillehammer,Hamar,10606.0,10606.0,35.25,2027-12-23,2032-10-06
3407,Gjøvik,Hamar,7897.0,7897.0,36.9,2027-12-08,2032-09-27
3411,Ringsaker,Hamar,12701.0,635.0,2.94,2028-02-07,2033-01-06
3412,Løten,Hamar,2884.0,144.0,0.82,2028-02-08,2033-01-19
3413,Stange,Hamar,7796.0,390.0,1.76,2026-10-30,2029-07-02
3414,Nord-Odal,Hamar,3411.0,0.0,0.0,2026-05-01,2026-09-10
3415,Sør-Odal,Hamar,5776.0,0.0,0.0,2026-05-01,2026-09-16
3416,Eidskog,Hamar,5440.0,0.0,0.0,2026-05-01,2026-09-21
3417,Grue,Hamar,4204.0,0.0,0.0,2026-05-01,2026-09-24
3418,Åsnes,Hamar,5531.0,0.0,0.0,2026-05-01,2026-09-30
3419,Våler,Hamar,8900.0,445.0,1.61,2028-02-08,2033-01-13
3420,Elverum,Hamar,11666.0,583.0,3.29,2028-02-04,2032-12-24
3421,Trysil,Hamar,16189.0,809.0,5.97,2028-02-03,2032-12-14
3422,Åmot,Hamar,9088.0,9088.0,54.85,2028-02-02,2032-11-29
3423,Stor-Elvdal,Hamar,13617.0,681.0,4.69,2028-01-05,2032-10-25
3424,Rendalen,Hamar,11980.0,11980.0,122.9,2026-12-21,2030-02-25
3425,Engerdal,Hamar,6538.0,327.0,3.42,2028-01-06,2032-11-01
3426,Tolga,Hamar,8559.0,428.0,2.87,2028-01-10,2032-11-16
3427,Tynset,Hamar,10498.0,10498.0,81.12,2027-02-26,2030-12-05
3428,Alvdal,Hamar,10557.0,10557.0,62.65,2027-05-18,2031-10-22
3429,Folldal,Hamar,8494.0,425.0,3.12,2028-01-07,2032-11-08
3430,Os,Hamar,5106.0,255.0,1.93,2028-01-11,2032-11-19
3431,Dovre,Hamar,8098.0,8098.0,61.1,2027-07-08,2032-02-20
3432,Lesja,Hamar,6501.0,6501.0,65.88,2027-04-22,2031-06-30
3433,Skjåk,Hamar,5069.0,5069.0,56.62,2027-11-05,2032-09-02
3434,Lom,Hamar,6259.0,6259.0,58.5,2027-09-20,2032-07-15
3435,Vågå,Hamar,10194.0,10194.0,59.75,2027-08-26,2032-06-30
3436,Nord-Fron,Hamar,12207.0,12207.0,61.88,2027-06-14,2032-01-15
3437,Sel,Hamar,14777.0,14777.0,60.8,2027-08-02,2032-05-20
3438,Sør-Fron,Hamar,7916.0,7916.0,41.98,2027-11-23,2032-09-17
3439,Ringebu,Hamar,18435.0,18435.0,86.35,2026-06-05,2027-06-24
3440,Øyer,Hamar,10070.0,10070.0,47.7,2026-09-11,2028-11-06
3441,Gausdal,Hamar,12287.0,12287.0,69.3,2026-07-03,2027-11-04
3442,Østre Toten,Hamar,4326.0,4326.0,29.68,2027-01-29,2030-08-13
3443,Vestre Toten,Hamar,3356.0,3356.0,15.1,2027-02-04,2030-09-12
3446,Gran,Hamar,8906.0,8906.0,37.38,2026-10-14,2029-03-30
3447,Søndre Land,Hamar,7653.0,7653.0,39.23,2027-01-18,2030-06-11
3448,Nordre Land,Hamar,12435.0,12435.0,66.15,2027-03-25,2031-03-14
3449,Sør-Aurdal,Hamar,13249.0,13249.0,66.2,2026-07-31,2028-05-22
3450,Etnedal,Hamar,6276.0,6276.0,28.2,2028-01-04,2032-10-12
3451,Nord-Aurdal,Hamar,13002.0,13002.0,58.08,2027-10-13,2032-08-18
3452,Vestre Slidre,Hamar,11716.0,11716.0,36.1,2026-10-29,2029-05-31
3453,Øystre Slidre,Hamar,7995.0,7995.0,43.17,2026-09-29,2029-02-02
3454,Vang,Hamar,8187.0,8187.0,53.42,2026-08-24,2028-08-03
3901,Horten,Skien,2273.0,2273.0,5.5,2027-05-14,2031-10-08
3903,Holmestrand,Skien,8664.0,8664.0,32.8,2027-04-14,2031-05-30
3905,Tønsberg,Skien,10065.0,10065.0,27.35,2027-04-21,2031-06-23
3907,Sandefjord,Skien,13753.0,13753.0,36.35,2027-04-06,2031-05-05
3909,Larvik,Skien,20251.0,20251.0,59.2,2027-02-10,2030-10-10
3911,Færder,Skien,5132.0,5132.0,9.43,2027-05-13,2031-10-07
4001,Porsgrunn,Skien,7351.0,7351.0,17.35,2027-05-07,2031-09-18
4003,Skien,Skien,11644.0,11644.0,47.6,2027-03-08,2030-12-19
