KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,2026-12-15,111,2035-08-15
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,7,2026-12-15,110,2035-07-15
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,7,2026-12-15,108,2035-05-15
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,7,2026-12-15,110,2035-07-15
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,7,2026-12-15,109,2035-06-15
3424,Rendalen,Hamar,Skien,True,81.93,11980.0,5,2026-10-15,88,2033-09-15
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,6,2026-11-15,105,2035-02-15
3426,Tolga,Hamar,Stavanger,True,1.91,8559.0,6,2026-11-15,103,2034-12-15
3427,Tynset,Hamar,Skien,True,54.08,10498.0,5,2026-10-15,90,2033-11-15
3428,Alvdal,Hamar,Oslo,True,41.77,10557.0,6,2026-11-15,102,2034-11-15
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,6,2026-11-15,104,2035-01-15
3430,Os,Hamar,Hamar,False,1.29,5106.0,5,2026-10-15,94,2034-03-15
3431,Dovre,Hamar,Trondheim,True,40.73,8098.0,5,2026-10-15,91,2033-12-15
3432,Lesja,Hamar,Stavanger,True,43.92,6501.0,4,2026-09-15,78,2032-11-15
3433,Skjåk,Hamar,Trondheim,True,37.75,5069.0,5,2026-10-15,94,2034-03-15
3434,Lom,Hamar,Hamar,False,39.0,6259.0,7,2026-12-15,111,2035-08-15
3435,Vågå,Hamar,Trondheim,True,39.83,10194.0,4,2026-09-15,74,2032-07-15
3436,Nord-Fron,Hamar,Skien,True,41.25,12207.0,4,2026-09-15,72,2032-05-15
3437,Sel,Hamar,Molde,True,40.53,14777.0,4,2026-09-15,70,2032-03-15
3438,Sør-Fron,Hamar,Hamar,False,27.98,7916.0,6,2026-11-15,104,2035-01-15
3439,Ringebu,Hamar,Stavanger,True,57.57,18435.0,1,2026-06-15,27,2028-08-15
