Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,4219,500,1501,2385,3175
Basis_85,4220,500,339,621,1096
Basis_85,4221,500,833,1327,1812
Basis_85,4222,500,1223,1940,2573
Basis_85,4223,500,1577,2462,3283
Basis_85,4224,500,1518,2375,3185
Basis_85,4225,500,1465,2288,3139
Basis_85,4226,500,158,245,327
Basis_85,4227,500,346,632,1109
Basis_85,4228,500,815,1314,1838
Basis_85,4601,500,1823,3225,4358
Basis_85,4602,500,1166,3225,4361
Basis_85,4611,500,849,1489,2103
Basis_85,4612,500,2190,3387,4505
Basis_85,4613,500,2210,3430,4561
Basis_85,4614,500,2204,3412,4541
Basis_85,4615,500,163,252,335
Basis_85,4616,500,170,263,349
Basis_85,4617,500,871,1445,2040
Basis_85,4618,500,389,688,1295
Basis_85,4619,500,744,1368,1958
Basis_85,4620,500,1059,1685,2230
Basis_85,4621,500,446,855,1543
Basis_85,4622,500,886,1496,2110
Basis_85,4623,500,1133,1770,2335
Basis_85,4624,500,954,1598,2180
Basis_85,4625,500,171,265,353
Basis_85,4626,500,948,1607,2226
Basis_85,4627,500,1137,1760,2357
Basis_85,4628,500,2014,3106,4150
Basis_85,4629,500,172,269,355
Basis_85,4630,500,2001,3112,4123
Basis_85,4631,500,1970,3075,4084
Basis_85,4632,500,1143,1812,2385
Basis_85,4633,500,173,269,356
Basis_85,4634,500,2025,3126,4156
Basis_85,4635,500,2034,3121,4156
Basis_85,4636,500,1144,1807,2379
Basis_85,4637,500,1119,1740,2345
Basis_85,4638,500,1970,3309,4421
Basis_85,4639,500,1299,3246,4368
Basis_85,4640,500,653,1493,4094
Basis_85,4641,500,900,2783,4182
Basis_85,4642,500,1188,3205,4337
Basis_85,4643,500,990,1600,2159
Basis_85,4644,500,594,1307,3918
Basis_85,4645,500,1073,1731,2310
Basis_85,4646,500,1102,1709,2286
Basis_85,4647,500,401,782,1471
Basis_85,4648,500,1670,3294,4394
Basis_85,4649,500,742,2747,4239
Basis_85,4650,500,1047,3133,4368
Basis_85,4651,500,839,2728,4171
Basis_85,5001,500,639,1345,2078
Basis_85,5006,500,187,291,385
Basis_85,5007,500,195,304,403
Basis_85,5014,500,200,312,413
Basis_85,5020,500,202,314,418
Basis_85,5021,500,362,601,1271
Basis_85,5022,500,210,327,434
Basis_85,5025,500,423,852,1628
Basis_85,5026,500,811,1397,2054
Basis_85,5027,500,486,2565,3574
Basis_85,5028,500,1726,2764,3700
Basis_85,5029,500,1773,2794,3718
Basis_85,5031,500,214,332,440
Basis_85,5032,500,787,1411,2056
Basis_85,5033,500,709,1298,1908
Basis_85,5034,500,774,1345,1994
Basis_85,5035,500,509,1111,1861
Basis_85,5036,500,215,335,445
Basis_85,5037,500,227,353,468
Basis_85,5038,500,727,1376,2022
Basis_85,5041,500,500,1023,1663
Basis_85,5042,500,576,1035,1533
Basis_85,5043,500,1098,1674,2288
Basis_85,5044,500,986,1593,2146
Basis_85,5045,500,849,1452,2035
Basis_85,5046,500,1136,1748,2371
Basis_85,5047,500,1047,1674,2320
Basis_85,5049,500,1165,1789,2421
Basis_85,5052,500,228,354,469
Basis_85,5053,500,1011,1653,2323
Basis_85,5054,500,569,1175,1894
Basis_85,5055,500,705,1335,2117
Basis_85,5056,500,884,1601,2205
Basis_85,5057,500,230,360,476
Basis_85,5058,500,696,1334,1986
Basis_85,5059,500,380,2454,3476
Basis_85,5060,500,237,370,490
Basis_85,5061,500,1017,1686,2278
Basis_85,5501,500,2300,3567,4751
