uke_aar,uke_nr,Ko_Lengde_Kommuner,Lenker_I_Ko,Lenker_Overfort_Hittil,Kommuner_Overfort_Hittil
2027,43,273,2044464.0,586500.0,84
2027,44,272,2036964.0,594000.0,85
2027,45,271,2029464.0,601500.0,86
2027,46,270,2021964.0,609000.0,87
2027,47,269,2014464.0,616500.0,88
2027,48,269,2006964.0,624000.0,88
2027,49,268,1999464.0,631500.0,89
2027,50,266,1991964.0,639000.0,91
2027,51,265,1984464.0,646500.0,92
2027,52,264,1976964.0,654000.0,93
2028,1,263,1969464.0,661500.0,94
2028,2,261,1961964.0,669000.0,96
2028,3,261,1954464.0,676500.0,96
2028,4,261,1946964.0,684000.0,96
2028,5,260,1939464.0,691500.0,97
2028,6,259,1931964.0,699000.0,98
2028,7,258,1924464.0,706500.0,99
2028,8,256,1916964.0,714000.0,101
2028,9,256,1909464.0,721500.0,101
2028,10,256,1901964.0,729000.0,101
2028,11,254,1894464.0,736500.0,103
2028,12,254,1886964.0,744000.0,103
2028,13,252,1879464.0,751500.0,105
2028,14,251,1871964.0,759000.0,106
2028,15,249,1864464.0,766500.0,108
2028,16,247,1856964.0,774000.0,110
2028,17,245,1849464.0,781500.0,112
2028,18,244,1841964.0,789000.0,113
2028,19,244,1834464.0,796500.0,113
2028,20,243,1826964.0,804000.0,114
2028,21,243,1819464.0,811500.0,114
2028,22,241,1811964.0,819000.0,116
2028,23,241,1804464.0,826500.0,116
2028,24,239,1796964.0,834000.0,118
2028,25,238,1789464.0,841500.0,119
2028,26,237,1781964.0,849000.0,120
2028,27,236,1774464.0,856500.0,121
2028,28,235,1766964.0,864000.0,122
2028,29,233,1759464.0,871500.0,124
2028,30,232,1751964.0,879000.0,125
2028,31,231,1744464.0,886500.0,126
2028,32,231,1736964.0,894000.0,126
2028,33,230,1729464.0,901500.0,127
2028,34,229,1721964.0,909000.0,128
2028,35,229,1714464.0,916500.0,128
2028,36,228,1706964.0,924000.0,129
2028,37,227,1699464.0,931500.0,130
2028,38,226,1691964.0,939000.0,131
2028,39,225,1684464.0,946500.0,132
2028,40,224,1676964.0,954000.0,133
2028,41,223,1669464.0,961500.0,134
2028,42,222,1661964.0,969000.0,135
