uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2026,37,Bergen,28.85,28.85,1.0
2026,37,Molde,0.0,18.03,0.0
2026,37,Trondheim,37.5,37.5,1.0
2026,37,Bodø,15.87,15.87,1.0
2026,37,Tromsø,25.24,25.24,1.0
2026,38,Oslo,21.63,21.63,1.0
2026,38,Hamar,18.03,18.03,1.0
2026,38,Skien,0.0,28.85,0.0
2026,38,Kristiansand,0.0,21.63,0.0
2026,38,Stavanger,0.0,20.19,0.0
2026,38,Bergen,28.85,28.85,1.0
2026,38,Molde,0.0,18.03,0.0
2026,38,Trondheim,14.19,37.5,0.378
2026,38,Bodø,15.87,15.87,1.0
2026,38,Tromsø,25.24,25.24,1.0
2026,39,Oslo,21.63,21.63,1.0
2026,39,Hamar,18.03,18.03,1.0
2026,39,Skien,0.0,28.85,0.0
2026,39,Kristiansand,0.0,21.63,0.0
2026,39,Stavanger,0.0,20.19,0.0
2026,39,Bergen,2.59,28.85,0.09
2026,39,Molde,0.0,18.03,0.0
2026,39,Trondheim,0.0,37.5,0.0
2026,39,Bodø,15.87,15.87,1.0
2026,39,Tromsø,25.24,25.24,1.0
2026,40,Oslo,21.63,21.63,1.0
2026,40,Hamar,18.03,18.03,1.0
2026,40,Skien,0.0,28.85,0.0
2026,40,Kristiansand,8.65,21.63,0.4
2026,40,Stavanger,8.08,20.19,0.4
2026,40,Bergen,0.0,28.85,0.0
2026,40,Molde,0.0,18.03,0.0
2026,40,Trondheim,0.0,37.5,0.0
2026,40,Bodø,15.87,15.87,1.0
2026,40,Tromsø,25.24,25.24,1.0
2026,41,Oslo,21.63,21.63,1.0
2026,41,Hamar,18.03,18.03,1.0
2026,41,Skien,0.0,28.85,0.0
2026,41,Kristiansand,21.63,21.63,1.0
2026,41,Stavanger,20.19,20.19,1.0
2026,41,Bergen,0.0,28.85,0.0
2026,41,Molde,0.0,18.03,0.0
2026,41,Trondheim,0.0,37.5,0.0
2026,41,Bodø,15.87,15.87,1.0
2026,41,Tromsø,25.24,25.24,1.0
2026,42,Oslo,21.63,21.63,1.0
2026,42,Hamar,18.03,18.03,1.0
2026,42,Skien,0.0,28.85,0.0
2026,42,Kristiansand,21.63,21.63,1.0
2026,42,Stavanger,20.19,20.19,1.0
2026,42,Bergen,0.0,28.85,0.0
2026,42,Molde,0.0,18.03,0.0
