KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
3440,Øyer,Hamar,Hamar,False,31.8,10070.0,2,11
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,1,7
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,0,5
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,1,10
3446,Gran,Hamar,Hamar,False,24.92,8906.0,3,15
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,1,9
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,8,30
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,2,10
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,6,28
3451,Nord-Aurdal,Hamar,Bodø,True,38.72,13002.0,5,23
3452,Vestre Slidre,Hamar,Hamar,False,24.07,11716.0,3,14
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,3,15
3454,Vang,Hamar,Hamar,False,35.62,8187.0,0,3
3901,Horten,Skien,Skien,False,3.67,2273.0,8,31
3903,Holmestrand,Skien,Skien,False,21.87,8664.0,8,30
3905,Tønsberg,Skien,Hamar,True,18.23,10065.0,8,30
3907,Sandefjord,Skien,Skien,False,24.23,13753.0,8,30
3909,Larvik,Skien,Kristiansand,True,39.47,20251.0,10,32
3911,Færder,Skien,Skien,False,6.28,5132.0,8,31
4001,Porsgrunn,Skien,Skien,False,11.57,7351.0,8,31
4003,Skien,Skien,Kristiansand,True,31.73,11644.0,8,30
4005,Notodden,Skien,Skien,False,30.73,8977.0,2,12
4010,Siljan,Skien,Skien,False,8.78,2674.0,3,16
4012,Bamble,Skien,Hamar,True,10.83,5868.0,8,31
4014,Kragerø,Skien,Skien,False,13.88,8153.0,8,30
4016,Drangedal,Skien,Tromsø,True,32.68,9597.0,8,30
4018,Nome,Skien,Skien,False,14.85,4661.0,8,31
4022,Seljord,Skien,Skien,False,27.38,9972.0,2,11
4024,Hjartdal,Skien,Skien,False,23.9,8171.0,4,19
4026,Tinn,Skien,Skien,False,58.88,13385.0,2,10
4028,Kviteseid,Skien,Skien,False,20.42,5611.0,0,4
4030,Nissedal,Skien,Skien,False,23.0,6540.0,0,4
4032,Fyresdal,Skien,Stavanger,True,26.6,5047.0,8,31
4034,Tokke,Skien,Molde,True,27.02,6401.0,8,31
4036,Vinje,Skien,Tromsø,True,64.47,12380.0,8,30
4201,Risør,Kristiansand,Kristiansand,False,11.55,7458.0,4,19
4202,Grimstad,Kristiansand,Kristiansand,False,11.83,6512.0,4,20
4203,Arendal,Kristiansand,Kristiansand,False,21.03,18178.0,6,26
4204,Kristiansand,Kristiansand,Kristiansand,False,41.0,27939.0,6,26
4205,Lindesnes,Kristiansand,Skien,True,56.22,30608.0,5,21
4206,Farsund,Kristiansand,Kristiansand,False,12.6,8160.0,4,19
4207,Flekkefjord,Kristiansand,Kristiansand,False,21.62,10002.0,3,14
4211,Gjerstad,Kristiansand,Kristiansand,False,0.78,5328.0,1,9
4212,Vegårshei,Kristiansand,Kristiansand,False,19.25,8548.0,2,12
4213,Tvedestrand,Kristiansand,Kristiansand,False,14.6,8806.0,4,19
4214,Froland,Kristiansand,Kristiansand,False,1.01,6254.0,2,13
4215,Lillesand,Kristiansand,Kristiansand,False,9.43,6111.0,4,20
4216,Birkenes,Kristiansand,Kristiansand,False,26.37,10577.0,4,18
4217,Åmli,Kristiansand,Kristiansand,False,31.8,8190.0,3,15
4218,Iveland,Kristiansand,Tromsø,True,2.01,3446.0,4,20
4219,Evje og Hornnes,Kristiansand,Kristiansand,False,20.05,7758.0,5,24
