Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,3421,500,1941,3051,4039
Basis_85,MIP_vektet,3422,500,1924,3015,4009
Basis_85,MIP_vektet,3423,500,1861,2938,3919
Basis_85,MIP_vektet,3424,500,1409,2158,2895
Basis_85,MIP_vektet,3425,500,1745,2764,3783
Basis_85,MIP_vektet,3426,500,1847,2856,3829
Basis_85,MIP_vektet,3427,500,1447,2275,3085
Basis_85,MIP_vektet,3428,500,1712,2740,3680
Basis_85,MIP_vektet,3429,500,1741,2777,3754
Basis_85,MIP_vektet,3430,500,1749,2789,3790
Basis_85,MIP_vektet,3431,500,1369,2182,2981
Basis_85,MIP_vektet,3432,500,1840,2841,3815
Basis_85,MIP_vektet,3433,500,1438,2189,2981
Basis_85,MIP_vektet,3434,500,1480,2378,3387
Basis_85,MIP_vektet,3435,500,1430,2195,2944
Basis_85,MIP_vektet,3436,500,1489,2348,3178
Basis_85,MIP_vektet,3437,500,1311,2070,2783
Basis_85,MIP_vektet,3438,500,1605,2542,3559
Basis_85,MIP_vektet,3439,500,964,1719,2840
Basis_85,MIP_vektet,3440,500,642,1173,1785
Basis_85,MIP_vektet,3441,500,480,961,1942
Basis_85,MIP_vektet,3442,500,1996,3224,4315
Basis_85,MIP_vektet,3443,500,2117,3288,4374
Basis_85,MIP_vektet,3446,500,781,1611,2527
Basis_85,MIP_vektet,3447,500,960,3172,4241
Basis_85,MIP_vektet,3448,500,2173,3374,4493
Basis_85,MIP_vektet,3449,500,440,1080,1995
Basis_85,MIP_vektet,3450,500,1698,2675,3609
Basis_85,MIP_vektet,3451,500,1501,2448,3339
Basis_85,MIP_vektet,3452,500,502,1030,1658
Basis_85,MIP_vektet,3453,500,734,1503,2373
Basis_85,MIP_vektet,3454,500,619,1272,2206
Basis_85,MIP_vektet,3901,500,2109,3271,4373
Basis_85,MIP_vektet,3903,500,2020,3137,4200
Basis_85,MIP_vektet,3905,500,2047,3193,4245
Basis_85,MIP_vektet,3907,500,2006,3125,4143
Basis_85,MIP_vektet,3909,500,2159,3372,4476
Basis_85,MIP_vektet,3911,500,2104,3272,4330
Basis_85,MIP_vektet,4001,500,2070,3218,4281
Basis_85,MIP_vektet,4003,500,2138,3336,4408
Basis_85,MIP_vektet,4005,500,648,1164,1802
Basis_85,MIP_vektet,4010,500,744,1166,1705
Basis_85,MIP_vektet,4012,500,2076,3205,4323
Basis_85,MIP_vektet,4014,500,2067,3196,4213
