KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
3419,Våler,Hamar,Hamar,False,1.07,8900.0,7,2026-12-15,29,2028-10-15
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,7,2026-12-15,29,2028-10-15
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,7,2026-12-15,29,2028-10-15
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,7,2026-12-15,29,2028-10-15
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,7,2026-12-15,29,2028-10-15
3424,Rendalen,Hamar,Skien,True,81.93,11980.0,4,2026-09-15,20,2028-01-15
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,5,2026-10-15,27,2028-08-15
3426,Tolga,Hamar,Hamar,False,1.91,8559.0,5,2026-10-15,26,2028-07-15
3427,Tynset,Hamar,Stavanger,True,54.08,10498.0,6,2026-11-15,28,2028-09-15
3428,Alvdal,Hamar,Stavanger,True,41.77,10557.0,4,2026-09-15,21,2028-02-15
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,5,2026-10-15,26,2028-07-15
3430,Os,Hamar,Hamar,False,1.29,5106.0,5,2026-10-15,27,2028-08-15
3431,Dovre,Hamar,Molde,True,40.73,8098.0,5,2026-10-15,27,2028-08-15
3432,Lesja,Hamar,Skien,True,43.92,6501.0,4,2026-09-15,22,2028-03-15
3433,Skjåk,Hamar,Stavanger,True,37.75,5069.0,4,2026-09-15,23,2028-04-15
3434,Lom,Hamar,Kristiansand,True,39.0,6259.0,4,2026-09-15,22,2028-03-15
3435,Vågå,Hamar,Trondheim,True,39.83,10194.0,4,2026-09-15,21,2028-02-15
3436,Nord-Fron,Hamar,Trondheim,True,41.25,12207.0,4,2026-09-15,20,2028-01-15
3437,Sel,Hamar,Molde,True,40.53,14777.0,4,2026-09-15,20,2028-01-15
3438,Sør-Fron,Hamar,Hamar,False,27.98,7916.0,4,2026-09-15,22,2028-03-15
3439,Ringebu,Hamar,Hamar,False,57.57,18435.0,2,2026-07-15,12,2027-05-15
3440,Øyer,Hamar,Hamar,False,31.8,10070.0,2,2026-07-15,12,2027-05-15
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,3,2026-08-15,15,2027-08-15
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,1,2026-06-15,11,2027-04-15
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,0,2026-05-15,6,2026-11-15
3446,Gran,Hamar,Hamar,False,24.92,8906.0,3,2026-08-15,17,2027-10-15
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,1,2026-06-15,10,2027-03-15
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,8,2027-01-15,30,2028-11-15
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,1,2026-06-15,8,2027-01-15
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,5,2026-10-15,27,2028-08-15
3451,Nord-Aurdal,Hamar,Hamar,False,38.72,13002.0,4,2026-09-15,20,2028-01-15
3452,Vestre Slidre,Hamar,Hamar,False,24.07,11716.0,2,2026-07-15,12,2027-05-15
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,3,2026-08-15,17,2027-10-15
3454,Vang,Hamar,Hamar,False,35.62,8187.0,0,2026-05-15,3,2026-08-15
3901,Horten,Skien,Skien,False,3.67,2273.0,8,2027-01-15,31,2028-12-15
3903,Holmestrand,Skien,Skien,False,21.87,8664.0,8,2027-01-15,31,2028-12-15
3905,Tønsberg,Skien,Skien,False,18.23,10065.0,8,2027-01-15,30,2028-11-15
3907,Sandefjord,Skien,Skien,False,24.23,13753.0,8,2027-01-15,30,2028-11-15
3909,Larvik,Skien,Trondheim,True,39.47,20251.0,8,2027-01-15,30,2028-11-15
3911,Færder,Skien,Skien,False,6.28,5132.0,8,2027-01-15,31,2028-12-15
4001,Porsgrunn,Skien,Skien,False,11.57,7351.0,8,2027-01-15,31,2028-12-15
4003,Skien,Skien,Bergen,True,31.73,11644.0,8,2027-01-15,30,2028-11-15
4005,Notodden,Skien,Skien,False,30.73,8977.0,1,2026-06-15,9,2027-02-15
4010,Siljan,Skien,Skien,False,8.78,2674.0,3,2026-08-15,18,2027-11-15
4012,Bamble,Skien,Skien,False,10.83,5868.0,8,2027-01-15,31,2028-12-15
4014,Kragerø,Skien,Skien,False,13.88,8153.0,8,2027-01-15,31,2028-12-15
4016,Drangedal,Skien,Molde,True,32.68,9597.0,8,2027-01-15,31,2028-12-15
4018,Nome,Skien,Skien,False,14.85,4661.0,8,2027-01-15,31,2028-12-15
4022,Seljord,Skien,Skien,False,27.38,9972.0,2,2026-07-15,13,2027-06-15
4024,Hjartdal,Skien,Skien,False,23.9,8171.0,1,2026-06-15,9,2027-02-15
4026,Tinn,Skien,Skien,False,58.88,13385.0,1,2026-06-15,8,2027-01-15
4028,Kviteseid,Skien,Skien,False,20.42,5611.0,3,2026-08-15,17,2027-10-15
4030,Nissedal,Skien,Skien,False,23.0,6540.0,3,2026-08-15,17,2027-10-15
4032,Fyresdal,Skien,Bodø,True,26.6,5047.0,8,2027-01-15,31,2028-12-15
4034,Tokke,Skien,Molde,True,27.02,6401.0,8,2027-01-15,31,2028-12-15
4036,Vinje,Skien,Tromsø,True,64.47,12380.0,8,2027-01-15,30,2028-11-15
4201,Risør,Kristiansand,Kristiansand,False,11.55,7458.0,4,2026-09-15,22,2028-03-15
4202,Grimstad,Kristiansand,Kristiansand,False,11.83,6512.0,4,2026-09-15,22,2028-03-15
4203,Arendal,Kristiansand,Kristiansand,False,21.03,18178.0,5,2026-10-15,25,2028-06-15
4204,Kristiansand,Kristiansand,Oslo,True,41.0,27939.0,5,2026-10-15,25,2028-06-15
4205,Lindesnes,Kristiansand,Tromsø,True,56.22,30608.0,5,2026-10-15,24,2028-05-15
4206,Farsund,Kristiansand,Kristiansand,False,12.6,8160.0,3,2026-08-15,17,2027-10-15
4207,Flekkefjord,Kristiansand,Kristiansand,False,21.62,10002.0,3,2026-08-15,16,2027-09-15
4211,Gjerstad,Kristiansand,Kristiansand,False,0.78,5328.0,4,2026-09-15,23,2028-04-15
4212,Vegårshei,Kristiansand,Kristiansand,False,19.25,8548.0,4,2026-09-15,22,2028-03-15
4213,Tvedestrand,Kristiansand,Kristiansand,False,14.6,8806.0,4,2026-09-15,21,2028-02-15
4214,Froland,Kristiansand,Kristiansand,False,1.01,6254.0,2,2026-07-15,13,2027-06-15
4215,Lillesand,Kristiansand,Kristiansand,False,9.43,6111.0,4,2026-09-15,22,2028-03-15
4216,Birkenes,Kristiansand,Kristiansand,False,26.37,10577.0,3,2026-08-15,16,2027-09-15
4217,Åmli,Kristiansand,Kristiansand,False,31.8,8190.0,0,2026-05-15,3,2026-08-15
4218,Iveland,Kristiansand,Kristiansand,False,2.01,3446.0,4,2026-09-15,23,2028-04-15
4219,Evje og Hornnes,Kristiansand,Kristiansand,False,20.05,7758.0,5,2026-10-15,27,2028-08-15
4220,Bygland,Kristiansand,Kristiansand,False,29.77,7574.0,2,2026-07-15,13,2027-06-15
4221,Valle,Kristiansand,Kristiansand,False,29.77,7136.0,3,2026-08-15,17,2027-10-15
4222,Bykle,Kristiansand,Kristiansand,False,23.13,4958.0,5,2026-10-15,28,2028-09-15
4223,Vennesla,Kristiansand,Kristiansand,False,2.02,10530.0,5,2026-10-15,26,2028-07-15
4224,Åseral,Kristiansand,Kristiansand,False,19.07,5558.0,5,2026-10-15,27,2028-08-15
4225,Lyngdal,Kristiansand,Bergen,True,27.52,13449.0,5,2026-10-15,26,2028-07-15
4227,Kvinesdal,Kristiansand,Kristiansand,False,29.9,10186.0,1,2026-06-15,9,2027-02-15
4228,Sirdal,Kristiansand,Kristiansand,False,31.2,8126.0,2,2026-07-15,13,2027-06-15
4601,Bergen,Bergen,Bergen,False,30.6,30466.0,0,2026-05-15,0,2026-05-15
4602,Kinn,Bergen,Bergen,False,22.67,9385.0,0,2026-05-15,3,2026-08-15
4611,Etne,Bergen,Bergen,False,24.95,10118.0,4,2026-09-15,21,2028-02-15
4612,Sveio,Bergen,Bergen,False,12.83,8328.0,0,2026-05-15,3,2026-08-15
