KomNr,Status,Oppgave,%
4225,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4227,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4228,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4601,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4602,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4611,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4612,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4614,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4617,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4618,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4619,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4620,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4621,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4622,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4623,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4624,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4626,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4627,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4628,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4630,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4631,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4632,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4634,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4635,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4636,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4637,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4638,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4639,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4640,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4641,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4642,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4643,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4645,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4646,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4647,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4648,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4649,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4650,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
4651,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5001,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5021,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5025,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5026,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5027,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5028,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5029,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5032,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5033,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5034,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5035,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5041,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5042,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5043,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5044,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5045,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5046,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5047,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5053,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5054,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5055,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5056,Påbegynt,Kvalitetsheving av traktorveger og stier,
5058,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5059,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5060,Ferdig,Kvalitetsheving av traktorveger og stier,
5061,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5501,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5503,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5512,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5514,Påbegynt,Kvalitetsheving av traktorveger og stier,
5516,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5518,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5520,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5522,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5526,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5530,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5534,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5536,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5544,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5546,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5603,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5605,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5607,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5610,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5612,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5614,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5616,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5618,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5620,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5622,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5624,Påbegynt,Kvalitetsheving av traktorveger og stier,
5628,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
5636,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,
