KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
1874,Moskenes,Bodø,Bodø,False,2.53,949.0,19,2027-12-15,19,2027-12-15
1875,Hábmer - Hamarøy,Bodø,Bodø,False,31.75,5093.0,38,2029-07-15,38,2029-07-15
3103,Moss,Oslo,Oslo,False,8.35,6581.0,12,2027-05-15,12,2027-05-15
3105,Sarpsborg,Oslo,Oslo,False,19.48,13048.0,21,2028-02-15,22,2028-03-15
3107,Fredrikstad,Oslo,Oslo,False,17.97,14235.0,50,2030-07-15,51,2030-08-15
3110,Hvaler,Oslo,Oslo,False,4.87,4834.0,25,2028-06-15,25,2028-06-15
3114,Våler,Oslo,Oslo,False,11.85,8900.0,9,2027-02-15,10,2027-03-15
3116,Skiptvet,Oslo,Oslo,False,0.75,1677.0,64,2031-09-15,64,2031-09-15
3118,Indre Østfold,Oslo,Oslo,False,32.53,15270.0,24,2028-05-15,24,2028-05-15
3120,Rakkestad,Oslo,Oslo,False,0.69,3807.0,41,2029-10-15,41,2029-10-15
3201,Bærum,Oslo,Oslo,False,2.57,10234.0,63,2031-08-15,63,2031-08-15
3203,Asker,Oslo,Oslo,False,23.9,16870.0,8,2027-01-15,8,2027-01-15
3205,Lillestrøm,Oslo,Oslo,False,20.33,10677.0,30,2028-11-15,30,2028-11-15
3209,Ullensaker,Oslo,Oslo,False,12.75,5340.0,44,2030-01-15,44,2030-01-15
3222,Lørenskog,Oslo,Oslo,False,3.28,2091.0,20,2028-01-15,20,2028-01-15
3226,Aurskog-Høland,Oslo,Oslo,False,36.7,10975.0,31,2028-12-15,31,2028-12-15
3228,Nes,Oslo,Oslo,False,25.47,7813.0,55,2030-12-15,55,2030-12-15
3232,Nittedal,Oslo,Oslo,False,11.33,5357.0,53,2030-10-15,53,2030-10-15
3301,Drammen,Oslo,Oslo,False,19.53,11937.0,58,2031-03-15,58,2031-03-15
3303,Kongsberg,Oslo,Oslo,False,40.87,18936.0,7,2026-12-15,8,2027-01-15
3305,Ringerike,Oslo,Oslo,False,68.08,27311.0,16,2027-09-15,16,2027-09-15
3312,Lier,Oslo,Oslo,False,15.43,6724.0,8,2027-01-15,9,2027-02-15
3314,Øvre Eiker,Oslo,Oslo,False,18.4,6486.0,25,2028-06-15,25,2028-06-15
3316,Modum,Oslo,Oslo,False,25.4,10613.0,58,2031-03-15,59,2031-04-15
3320,Flå,Oslo,Oslo,False,23.32,6856.0,16,2027-09-15,17,2027-10-15
3322,Nesbyen,Oslo,Oslo,False,34.28,11185.0,33,2029-02-15,33,2029-02-15
3324,Gol,Oslo,Oslo,False,25.93,9600.0,28,2028-09-15,28,2028-09-15
3326,Hemsedal,Oslo,Oslo,False,23.38,8110.0,46,2030-03-15,46,2030-03-15
3328,Ål,Oslo,Oslo,False,45.85,16194.0,56,2031-01-15,57,2031-02-15
3330,Hol,Oslo,Oslo,False,44.75,14988.0,41,2029-10-15,41,2029-10-15
3332,Sigdal,Oslo,Oslo,False,37.65,17054.0,51,2030-08-15,52,2030-09-15
3336,Rollag,Oslo,Oslo,False,11.38,7744.0,29,2028-10-15,29,2028-10-15
3338,Nore og Uvdal,Oslo,Oslo,False,66.03,13281.0,56,2031-01-15,57,2031-02-15
3401,Kongsvinger,Hamar,Hamar,False,1.9,10212.0,67,2031-12-15,67,2031-12-15
3403,Hamar,Hamar,Hamar,False,0.55,3151.0,31,2028-12-15,31,2028-12-15
3405,Lillehammer,Hamar,Hamar,False,23.5,10606.0,68,2032-01-15,68,2032-01-15
3407,Gjøvik,Hamar,Hamar,False,24.6,7897.0,33,2029-02-15,33,2029-02-15
3411,Ringsaker,Hamar,Hamar,False,1.96,12701.0,51,2030-08-15,53,2030-10-15
3412,Løten,Hamar,Hamar,False,0.54,2884.0,25,2028-06-15,25,2028-06-15
3413,Stange,Hamar,Hamar,False,1.18,7796.0,11,2027-04-15,11,2027-04-15
3419,Våler,Hamar,Hamar,False,1.07,8900.0,48,2030-05-15,49,2030-06-15
3420,Elverum,Hamar,Hamar,False,2.2,11666.0,17,2027-10-15,17,2027-10-15
3421,Trysil,Hamar,Hamar,False,3.98,16189.0,50,2030-07-15,51,2030-08-15
3422,Åmot,Hamar,Hamar,False,36.57,9088.0,69,2032-02-15,69,2032-02-15
3423,Stor-Elvdal,Hamar,Hamar,False,3.13,13617.0,36,2029-05-15,37,2029-06-15
3424,Rendalen,Hamar,Hamar,False,81.93,11980.0,22,2028-03-15,23,2028-04-15
3425,Engerdal,Hamar,Hamar,False,2.28,6538.0,65,2031-10-15,65,2031-10-15
3426,Tolga,Hamar,Hamar,False,1.91,8559.0,55,2030-12-15,56,2031-01-15
3427,Tynset,Hamar,Hamar,False,54.08,10498.0,68,2032-01-15,68,2032-01-15
3428,Alvdal,Hamar,Hamar,False,41.77,10557.0,40,2029-09-15,40,2029-09-15
3429,Folldal,Hamar,Hamar,False,2.08,8494.0,56,2031-01-15,57,2031-02-15
3430,Os,Hamar,Hamar,False,1.29,5106.0,68,2032-01-15,68,2032-01-15
3431,Dovre,Hamar,Hamar,False,40.73,8098.0,53,2030-10-15,53,2030-10-15
3432,Lesja,Hamar,Hamar,False,43.92,6501.0,14,2027-07-15,14,2027-07-15
3433,Skjåk,Hamar,Hamar,False,37.75,5069.0,33,2029-02-15,34,2029-03-15
3434,Lom,Hamar,Hamar,False,39.0,6259.0,9,2027-02-15,10,2027-03-15
3435,Vågå,Hamar,Hamar,False,39.83,10194.0,63,2031-08-15,64,2031-09-15
3436,Nord-Fron,Hamar,Hamar,False,41.25,12207.0,54,2030-11-15,54,2030-11-15
3437,Sel,Hamar,Hamar,False,40.53,14777.0,49,2030-06-15,50,2030-07-15
3438,Sør-Fron,Hamar,Hamar,False,27.98,7916.0,68,2032-01-15,69,2032-02-15
3439,Ringebu,Hamar,Hamar,False,57.57,18435.0,34,2029-03-15,35,2029-04-15
3440,Øyer,Hamar,Hamar,False,31.8,10070.0,35,2029-04-15,36,2029-05-15
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,15,2027-08-15,15,2027-08-15
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,31,2028-12-15,31,2028-12-15
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,21,2028-02-15,22,2028-03-15
3446,Gran,Hamar,Hamar,False,24.92,8906.0,34,2029-03-15,35,2029-04-15
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,37,2029-06-15,38,2029-07-15
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,26,2028-07-15,26,2028-07-15
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,64,2031-09-15,64,2031-09-15
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,67,2031-12-15,67,2031-12-15
3451,Nord-Aurdal,Hamar,Hamar,False,38.72,13002.0,24,2028-05-15,25,2028-06-15
3452,Vestre Slidre,Hamar,Hamar,False,24.07,11716.0,44,2030-01-15,45,2030-02-15
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,23,2028-04-15,24,2028-05-15
3454,Vang,Hamar,Hamar,False,35.62,8187.0,52,2030-09-15,53,2030-10-15
3901,Horten,Skien,Skien,False,3.67,2273.0,32,2029-01-15,33,2029-02-15
3903,Holmestrand,Skien,Skien,False,21.87,8664.0,29,2028-10-15,29,2028-10-15
3905,Tønsberg,Skien,Skien,False,18.23,10065.0,55,2030-12-15,56,2031-01-15
3907,Sandefjord,Skien,Skien,False,24.23,13753.0,30,2028-11-15,30,2028-11-15
3909,Larvik,Skien,Skien,False,39.47,20251.0,58,2031-03-15,59,2031-04-15
3911,Færder,Skien,Skien,False,6.28,5132.0,21,2028-02-15,22,2028-03-15
4001,Porsgrunn,Skien,Skien,False,11.57,7351.0,40,2029-09-15,40,2029-09-15
4003,Skien,Skien,Skien,False,31.73,11644.0,35,2029-04-15,36,2029-05-15
4005,Notodden,Skien,Skien,False,30.73,8977.0,58,2031-03-15,60,2031-05-15
4010,Siljan,Skien,Skien,False,8.78,2674.0,48,2030-05-15,49,2030-06-15
4012,Bamble,Skien,Skien,False,10.83,5868.0,33,2029-02-15,34,2029-03-15
4014,Kragerø,Skien,Skien,False,13.88,8153.0,11,2027-04-15,11,2027-04-15
4016,Drangedal,Skien,Skien,False,32.68,9597.0,40,2029-09-15,41,2029-10-15
4018,Nome,Skien,Skien,False,14.85,4661.0,59,2031-04-15,60,2031-05-15
4022,Seljord,Skien,Skien,False,27.38,9972.0,29,2028-10-15,30,2028-11-15
4024,Hjartdal,Skien,Skien,False,23.9,8171.0,15,2027-08-15,15,2027-08-15
4026,Tinn,Skien,Skien,False,58.88,13385.0,18,2027-11-15,18,2027-11-15
4028,Kviteseid,Skien,Skien,False,20.42,5611.0,49,2030-06-15,50,2030-07-15
4030,Nissedal,Skien,Skien,False,23.0,6540.0,35,2029-04-15,36,2029-05-15
4032,Fyresdal,Skien,Skien,False,26.6,5047.0,31,2028-12-15,31,2028-12-15
4034,Tokke,Skien,Skien,False,27.02,6401.0,22,2028-03-15,23,2028-04-15
4036,Vinje,Skien,Skien,False,64.47,12380.0,21,2028-02-15,22,2028-03-15
4201,Risør,Kristiansand,Kristiansand,False,11.55,7458.0,58,2031-03-15,60,2031-05-15
4202,Grimstad,Kristiansand,Kristiansand,False,11.83,6512.0,64,2031-09-15,65,2031-10-15
4203,Arendal,Kristiansand,Kristiansand,False,21.03,18178.0,43,2029-12-15,43,2029-12-15
4204,Kristiansand,Kristiansand,Kristiansand,False,41.0,27939.0,19,2027-12-15,19,2027-12-15
4205,Lindesnes,Kristiansand,Kristiansand,False,56.22,30608.0,61,2031-06-15,62,2031-07-15
4206,Farsund,Kristiansand,Kristiansand,False,12.6,8160.0,47,2030-04-15,47,2030-04-15
4207,Flekkefjord,Kristiansand,Kristiansand,False,21.62,10002.0,17,2027-10-15,18,2027-11-15
4211,Gjerstad,Kristiansand,Kristiansand,False,0.78,5328.0,19,2027-12-15,20,2028-01-15
4212,Vegårshei,Kristiansand,Kristiansand,False,19.25,8548.0,67,2031-12-15,67,2031-12-15
4213,Tvedestrand,Kristiansand,Kristiansand,False,14.6,8806.0,45,2030-02-15,46,2030-03-15
4214,Froland,Kristiansand,Kristiansand,False,1.01,6254.0,53,2030-10-15,54,2030-11-15
4215,Lillesand,Kristiansand,Kristiansand,False,9.43,6111.0,11,2027-04-15,11,2027-04-15
4216,Birkenes,Kristiansand,Kristiansand,False,26.37,10577.0,25,2028-06-15,26,2028-07-15
4217,Åmli,Kristiansand,Kristiansand,False,31.8,8190.0,7,2026-12-15,8,2027-01-15
4218,Iveland,Kristiansand,Kristiansand,False,2.01,3446.0,9,2027-02-15,10,2027-03-15
4219,Evje og Hornnes,Kristiansand,Kristiansand,False,20.05,7758.0,41,2029-10-15,42,2029-11-15
4220,Bygland,Kristiansand,Kristiansand,False,29.77,7574.0,28,2028-09-15,28,2028-09-15
4221,Valle,Kristiansand,Kristiansand,False,29.77,7136.0,63,2031-08-15,64,2031-09-15
4222,Bykle,Kristiansand,Kristiansand,False,23.13,4958.0,40,2029-09-15,41,2029-10-15
4223,Vennesla,Kristiansand,Kristiansand,False,2.02,10530.0,13,2027-06-15,13,2027-06-15
4224,Åseral,Kristiansand,Kristiansand,False,19.07,5558.0,19,2027-12-15,20,2028-01-15
4225,Lyngdal,Kristiansand,Kristiansand,False,27.52,13449.0,10,2027-03-15,11,2027-04-15
4227,Kvinesdal,Kristiansand,Kristiansand,False,29.9,10186.0,33,2029-02-15,34,2029-03-15
4228,Sirdal,Kristiansand,Kristiansand,False,31.2,8126.0,20,2028-01-15,21,2028-02-15
4601,Bergen,Bergen,Bergen,False,30.6,30466.0,27,2028-08-15,27,2028-08-15
4602,Kinn,Bergen,Bergen,False,22.67,9385.0,13,2027-06-15,13,2027-06-15
4611,Etne,Bergen,Bergen,False,24.95,10118.0,38,2029-07-15,39,2029-08-15
4612,Sveio,Bergen,Bergen,False,12.83,8328.0,41,2029-10-15,42,2029-11-15
4613,Bømlo,Bergen,Bergen,False,3.33,6759.0,53,2030-10-15,54,2030-11-15
4614,Stord,Bergen,Bergen,False,8.57,5301.0,8,2027-01-15,9,2027-02-15
4617,Kvinnherad,Bergen,Bergen,False,28.15,8939.0,44,2030-01-15,45,2030-02-15
4618,Ullensvang,Bergen,Bergen,False,71.77,18650.0,43,2029-12-15,44,2030-01-15
4619,Eidfjord,Bergen,Bergen,False,32.12,5017.0,43,2029-12-15,44,2030-01-15
4620,Ulvik,Bergen,Bergen,False,14.62,2743.0,33,2029-02-15,34,2029-03-15
4621,Voss,Bergen,Bergen,False,60.22,23191.0,66,2031-11-15,66,2031-11-15
4622,Kvam,Bergen,Bergen,False,25.12,11908.0,13,2027-06-15,14,2027-07-15
4623,Samnanger,Bergen,Bergen,False,7.62,2675.0,32,2029-01-15,33,2029-02-15
4624,Bjørnafjorden,Bergen,Bergen,False,19.98,10297.0,20,2028-01-15,21,2028-02-15
4626,Øygarden,Bergen,Bergen,False,17.88,11226.0,31,2028-12-15,32,2029-01-15
4627,Askøy,Bergen,Bergen,False,7.28,5218.0,45,2030-02-15,46,2030-03-15
4628,Vaksdal,Bergen,Bergen,False,15.9,4528.0,37,2029-06-15,38,2029-07-15
4630,Osterøy,Bergen,Bergen,False,14.72,8960.0,65,2031-10-15,65,2031-10-15
4631,Alver,Bergen,Bergen,False,36.83,27783.0,39,2029-08-15,40,2029-09-15
4632,Austrheim,Bergen,Bergen,False,3.73,3305.0,48,2030-05-15,49,2030-06-15
4634,Masfjorden,Bergen,Bergen,False,13.12,4590.0,14,2027-07-15,14,2027-07-15
4635,Gulen,Bergen,Bergen,False,12.15,4082.0,51,2030-08-15,53,2030-10-15
4636,Solund,Bergen,Bergen,False,4.42,1189.0,12,2027-05-15,12,2027-05-15
4637,Hyllestad,Bergen,Bergen,False,8.98,3011.0,9,2027-02-15,10,2027-03-15
4638,Høyanger,Bergen,Bergen,False,18.67,3476.0,15,2027-08-15,15,2027-08-15
4639,Vik,Bergen,Bergen,False,21.52,4624.0,48,2030-05-15,49,2030-06-15
4640,Sogndal,Bergen,Bergen,False,34.08,9640.0,25,2028-06-15,26,2028-07-15
4641,Aurland,Bergen,Bergen,False,29.27,4599.0,38,2029-07-15,39,2029-08-15
4642,Lærdal,Bergen,Bergen,False,23.97,3598.0,45,2030-02-15,46,2030-03-15
4643,Årdal,Bergen,Bergen,False,18.57,2758.0,37,2029-06-15,38,2029-07-15
4644,Luster,Bergen,Bergen,False,37.81,6200.0,64,2031-09-15,65,2031-10-15
4645,Askvoll,Bergen,Bergen,False,11.42,4575.0,20,2028-01-15,21,2028-02-15
4646,Fjaler,Bergen,Bergen,False,11.8,3672.0,18,2027-11-15,19,2027-12-15
4647,Sunnfjord,Bergen,Bergen,False,63.6,22959.0,60,2031-05-15,61,2031-06-15
4648,Bremanger,Bergen,Bergen,False,18.7,4648.0,13,2027-06-15,14,2027-07-15
4649,Stad,Bergen,Bergen,False,29.18,12853.0,63,2031-08-15,64,2031-09-15
4650,Gloppen,Bergen,Bergen,False,24.5,7841.0,43,2029-12-15,44,2030-01-15
4651,Stryn,Bergen,Bergen,False,30.58,7377.0,17,2027-10-15,18,2027-11-15
5001,Trondheim - Tråante,Trondheim,Trondheim,False,29.77,20525.0,62,2031-07-15,63,2031-08-15
5021,Oppdal,Trondheim,Trondheim,False,76.88,37049.0,47,2030-04-15,48,2030-05-15
5025,Rosse - Røros,Trondheim,Trondheim,False,51.28,11912.0,67,2031-12-15,68,2032-01-15
5026,Holtålen,Trondheim,Trondheim,False,28.25,6292.0,26,2028-07-15,27,2028-08-15
5027,Midtre Gauldal,Trondheim,Trondheim,False,49.35,13652.0,39,2029-08-15,40,2029-09-15
5028,Melhus,Trondheim,Trondheim,False,23.92,7720.0,15,2027-08-15,15,2027-08-15
5029,Skaun,Trondheim,Trondheim,False,10.4,4079.0,34,2029-03-15,35,2029-04-15
5032,Selbu,Trondheim,Trondheim,False,27.87,6104.0,50,2030-07-15,51,2030-08-15
5033,Tydal,Trondheim,Trondheim,False,32.18,9999.0,16,2027-09-15,17,2027-10-15
5034,Meråker,Trondheim,Trondheim,False,30.3,7116.0,59,2031-04-15,60,2031-05-15
5035,Stjørdal,Trondheim,Trondheim,False,37.83,13808.0,34,2029-03-15,35,2029-04-15
5038,Verdal,Trondheim,Trondheim,False,28.41,9686.0,53,2030-10-15,54,2030-11-15
5041,Snåase - Snåsa,Trondheim,Trondheim,False,41.1,5861.0,15,2027-08-15,16,2027-09-15
5042,Lierne,Trondheim,Trondheim,False,40.82,2972.0,20,2028-01-15,21,2028-02-15
5043,Raarvihke - Røyrvik,Trondheim,Trondheim,False,17.27,772.0,69,2032-02-15,69,2032-02-15
5044,Namsskogan,Trondheim,Trondheim,False,20.82,2245.0,56,2031-01-15,57,2031-02-15
5045,Grong,Trondheim,Trondheim,False,25.7,4904.0,20,2028-01-15,21,2028-02-15
5046,Høylandet,Trondheim,Trondheim,False,13.02,2199.0,57,2031-02-15,58,2031-03-15
5047,Overhalla,Trondheim,Trondheim,False,16.88,3968.0,21,2028-02-15,22,2028-03-15
